,Codigo,Município,2020
0,290010,Abaíra,2
1,290020,Abaré,321
2,290030,Acajutiba,45
3,290035,Adustina,40
4,290040,Água Fria,106
5,290060,Aiquara,16
6,290070,Alagoinhas,1275
7,290080,Alcobaça,45
8,290090,Almadina,50
9,290100,Amargosa,1474
10,290110,Amélia Rodrigues,44
11,290115,América Dourada,78
12,290120,Anagé,26
13,290130,Andaraí,120
14,290135,Andorinha,59
15,290140,Angical,25
16,290150,Anguera,106
17,290160,Antas,44
18,290170,Antônio Cardoso,47
19,290180,Antônio Gonçalves,113
20,290190,Aporá,17
21,290195,Apuarema,68
22,290205,Araças,13
23,290200,Aracatu,56
24,290210,Araci,373
25,290220,Aramari,2
26,290225,Arataca,2
27,290230,Aratuípe,2
28,290240,Aurelino Leal,21
29,290250,Baianópolis,17
30,290260,Baixa Grande,352
31,290265,Banzaê,1
32,290270,Barra,41
33,290280,Barra da Estiva,37
34,290290,Barra do Choça,37
35,290300,Barra do Mendes,111
36,290310,Barra do Rocha,456
37,290320,Barreiras,888
38,290323,Barro Alto,127
39,290330,Barro Preto,56
40,290327,Barrocas,459
41,290340,Belmonte,11
42,290350,Belo Campo,24
43,290360,Biritinga,454
44,290370,Boa Nova,206
45,290380,Boa Vista do Tupim,118
46,290390,Bom Jesus da Lapa,274
47,290395,Bom Jesus da Serra,27
48,290400,Boninal,12
49,290405,Bonito,27
50,290410,Boquira,405
51,290420,Botuporã,70
52,290430,Brejões,254
53,290440,Brejolândia,43
54,290450,Brotas de Macaúbas,41
55,290460,Brumado,1518
56,290470,Buerarema,46
57,290480,Caatiba,67
58,290485,Cabaceiras do Paraguaçu,102
59,290490,Cachoeira,129
60,290500,Caculé,284
61,290510,Caém,10
62,290515,Caetanos,88
63,290520,Caetité,434
64,290530,Cafarnaum,27
65,290540,Cairu,96
66,290550,Caldeirão Grande,36
67,290560,Camacan,154
68,290570,Camaçari,993
69,290580,Camamu,90
70,290590,Campo Alegre de Lourdes,3
71,290600,Campo Formoso,344
72,290610,Canápolis,55
73,290620,Canarana,198
74,290630,Canavieiras,119
75,290640,Candeal,17
76,290650,Candeias,604
77,290660,Candiba,19
78,290670,Cândido Sales,391
79,290680,Cansanção,144
80,290682,Canudos,1
81,290685,Capela do Alto Alegre,14
82,290687,Capim Grosso,343
83,290689,Caraíbas,44
84,290690,Caravelas,111
85,290700,Cardeal da Silva,13
86,290710,Carinhanha,110
87,290720,Casa Nova,302
88,290730,Castro Alves,43
89,290740,Catolândia,1
90,290750,Catu,311
91,290755,Caturama,27
92,290760,Central,89
93,290770,Chorrochó,15
94,290780,Cícero Dantas,73
95,290790,Cipó,52
96,290800,Coaraci,55
97,290810,Cocos,1
98,290820,Conceição da Feira,587
99,290830,Conceição do Almeida,211
100,290840,Conceição do Coité,687
101,290850,Conceição do Jacuípe,644
102,290860,Conde,38
103,290870,Condeúba,257
104,290880,Contendas do Sincorá,127
105,290890,Coração de Maria,350
106,290900,Cordeiros,4
107,290910,Coribe,175
108,290920,Coronel João Sá,88
109,290930,Correntina,322
110,290940,Cotegipe,76
111,290950,Cravolândia,65
112,290960,Crisópolis,12
113,290970,Cristópolis,12
114,290980,Cruz das Almas,732
115,290990,Curaçá,244
116,291000,Dário Meira,98
117,291005,Dias d'Ávila,146
118,291010,Dom Basílio,95
119,291020,Dom Macedo Costa,31
120,291030,Elísio Medrado,24
121,291040,Encruzilhada,166
122,291050,Entre Rios,206
123,290050,Érico Cardoso,77
124,291060,Esplanada,208
125,291070,Euclides da Cunha,401
126,291072,Eunápolis,820
127,291075,Fátima,184
128,291077,Feira da Mata,12
129,291080,Feira de Santana,6364
130,291085,Filadélfia,71
131,291090,Firmino Alves,90
132,291100,Floresta Azul,10
133,291110,Formosa do Rio Preto,1
134,291120,Gandu,267
135,291125,Gavião,42
136,291130,Gentio do Ouro,13
137,291140,Glória,40
138,291150,Gongogi,18
139,291160,Governador Mangabeira,166
140,291165,Guajeru,19
141,291170,Guanambi,639
142,291180,Guaratinga,18
143,291185,Heliópolis,25
144,291190,Iaçu,301
145,291200,Ibiassucê,299
146,291210,Ibicaraí,133
147,291220,Ibicoara,12
148,291230,Ibicuí,165
149,291240,Ibipeba,116
150,291250,Ibipitanga,284
151,291260,Ibiquera,81
152,291270,Ibirapitanga,84
153,291280,Ibirapuã,45
154,291290,Ibirataia,311
155,291300,Ibitiara,64
156,291310,Ibititá,117
157,291320,Ibotirama,87
158,291330,Ichu,91
159,291340,Igaporã,6
160,291345,Igrapiúna,7
161,291350,Iguaí,359
162,291360,Ilhéus,579
163,291370,Inhambupe,282
164,291380,Ipecaetá,48
165,291390,Ipiaú,898
166,291400,Ipirá,48
167,291410,Ipupiara,71
168,291420,Irajuba,220
169,291430,Iramaia,127
170,291440,Iraquara,733
171,291450,Irará,597
172,291460,Irecê,693
173,291465,Itabela,14
174,291470,Itaberaba,2992
175,291480,Itabuna,1017
176,291490,Itacaré,346
177,291500,Itaeté,281
178,291510,Itagi,10
179,291520,Itagibá,208
180,291530,Itagimirim,55
181,291535,Itaguaçu da Bahia,43
182,291540,Itaju do Colônia,8
183,291550,Itajuípe,112
184,291560,Itamaraju,159
185,291570,Itamari,28
186,291580,Itambé,134
187,291590,Itanagra,3
188,291600,Itanhém,593
189,291610,Itaparica,76
190,291620,Itapé,12
191,291630,Itapebi,15
192,291640,Itapetinga,441
193,291650,Itapicuru,177
194,291660,Itapitanga,1
195,291670,Itaquara,156
196,291680,Itarantim,30
197,291685,Itatim,59
198,291690,Itiruçu,149
199,291700,Itiúba,60
200,291710,Itororó,70
201,291720,Ituaçu,112
202,291730,Ituberá,13
203,291733,Iuiú,3
204,291735,Jaborandi,339
205,291740,Jacaraci,594
206,291750,Jacobina,825
207,291760,Jaguaquara,2326
