,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+,Codigo
0,Abaíra,0,0,0,0,0,1,0,0,1,0,290010
1,Abaré,4,4,17,12,32,92,75,56,26,3,290020
2,Acajutiba,1,1,2,2,2,15,11,9,2,0,290030
3,Adustina,2,3,4,6,2,12,5,4,1,1,290035
4,Água Fria,4,6,9,3,8,27,19,20,9,1,290040
5,Aiquara,2,0,0,0,2,3,4,4,1,0,290060
6,Alagoinhas,27,29,59,69,69,358,334,226,88,16,290070
7,Alcobaça,0,1,5,2,5,11,12,7,2,0,290080
8,Almadina,0,3,5,11,5,12,5,8,1,0,290090
9,Amargosa,15,39,75,113,168,453,327,195,68,21,290100
10,Amélia Rodrigues,0,6,7,2,0,6,18,4,1,0,290110
11,América Dourada,2,2,5,7,6,11,29,9,5,2,290115
12,Anagé,0,1,1,0,2,8,11,2,0,1,290120
13,Andaraí,1,3,6,18,11,19,31,16,14,1,290130
14,Andorinha,0,3,7,9,5,13,16,3,3,0,290135
15,Angical,1,0,0,2,2,7,9,4,0,0,290140
16,Anguera,1,6,4,8,8,24,24,22,7,2,290150
17,Antas,2,5,6,8,6,12,2,2,1,0,290160
18,Antônio Cardoso,2,0,4,4,7,14,12,2,1,1,290170
19,Antônio Gonçalves,1,7,16,11,8,25,26,14,2,3,290180
20,Aporá,0,0,1,1,2,6,3,2,1,1,290190
21,Apuarema,0,3,5,4,13,12,14,14,2,1,290195
22,Araças,1,1,0,2,1,2,4,2,0,0,290205
23,Aracatu,5,2,0,2,5,19,9,10,4,0,290200
24,Araci,3,29,45,34,41,100,70,31,15,5,290210
25,Aramari,0,0,0,0,0,2,0,0,0,0,290220
26,Arataca,0,0,0,0,0,1,1,0,0,0,290225
27,Aratuípe,0,0,0,0,0,1,1,0,0,0,290230
28,Aurelino Leal,3,1,2,3,1,4,7,0,0,0,290240
29,Baianópolis,1,0,0,0,1,3,6,6,0,0,290250
30,Baixa Grande,8,2,20,32,46,72,94,57,16,5,290260
31,Banzaê,0,0,0,0,0,0,1,0,0,0,290265
32,Barra,4,2,3,3,5,7,11,5,1,0,290270
33,Barra da Estiva,1,1,0,2,5,13,6,8,1,0,290280
34,Barra do Choça,1,0,1,1,4,17,11,0,2,0,290290
35,Barra do Mendes,1,2,6,6,8,35,32,16,5,0,290300
36,Barra do Rocha,7,15,31,59,59,103,97,54,27,4,290310
37,Barreiras,18,28,39,46,83,332,222,101,13,6,290320
38,Barro Alto,5,0,5,3,11,27,34,24,15,3,290323
39,Barro Preto,0,1,3,14,7,11,14,6,0,0,290330
40,Barrocas,3,18,26,32,43,107,123,61,39,6,290327
41,Belmonte,1,2,2,0,2,1,3,0,0,0,290340
42,Belo Campo,0,1,0,2,5,8,5,3,0,0,290350
43,Biritinga,9,14,26,25,36,130,95,67,33,19,290360
44,Boa Nova,10,8,9,17,20,52,50,28,10,1,290370
45,Boa Vista do Tupim,1,4,11,11,14,35,19,15,6,2,290380
46,Bom Jesus da Lapa,2,8,15,23,26,71,81,32,14,2,290390
47,Bom Jesus da Serra,0,1,4,5,1,11,3,2,0,0,290395
48,Boninal,0,1,0,0,0,5,6,0,0,0,290400
49,Bonito,0,0,3,1,4,7,7,3,2,0,290405
50,Boquira,1,9,24,23,25,96,82,68,56,21,290410
51,Botuporã,0,0,6,4,9,21,20,8,2,0,290420
52,Brejões,4,3,12,24,32,82,50,32,14,1,290430
53,Brejolândia,0,1,1,5,1,12,13,5,3,2,290440
54,Brotas de Macaúbas,1,2,5,1,2,5,10,11,3,1,290450
55,Brumado,13,101,168,202,197,353,260,159,55,10,290460
56,Buerarema,1,6,11,3,6,9,6,4,0,0,290470
57,Caatiba,6,3,4,10,9,13,16,3,1,2,290480
58,Cabaceiras do Paraguaçu,3,4,3,10,15,31,21,7,8,0,290485
59,Cachoeira,7,2,6,8,9,42,34,15,6,0,290490
60,Caculé,2,20,21,22,51,71,55,26,12,4,290500
61,Caém,1,1,2,0,1,1,3,0,0,1,290510
62,Caetanos,3,8,6,3,7,24,24,9,4,0,290515
63,Caetité,4,4,18,28,44,180,88,48,14,6,290520
64,Cafarnaum,1,0,0,1,3,11,7,4,0,0,290530
65,Cairu,2,1,5,2,5,34,27,14,6,0,290540
66,Caldeirão Grande,2,3,6,4,2,9,2,8,0,0,290550
67,Camacan,1,5,7,22,20,34,47,13,3,2,290560
68,Camaçari,13,34,113,84,112,294,234,76,27,5,290570
69,Camamu,1,5,3,2,15,34,20,8,2,0,290580
70,Campo Alegre de Lourdes,0,0,0,0,0,3,0,0,0,0,290590
71,Campo Formoso,8,23,42,46,46,76,61,32,8,2,290600
72,Canápolis,2,0,6,5,6,13,14,7,1,1,290610
73,Canarana,4,1,7,8,20,54,52,31,21,0,290620
74,Canavieiras,1,7,12,16,11,36,17,16,3,0,290630
75,Candeal,0,1,0,0,0,5,7,2,2,0,290640
76,Candeias,12,24,59,61,71,188,117,52,18,2,290650
77,Candiba,1,2,0,2,1,4,4,2,3,0,290660
78,Cândido Sales,16,18,37,48,41,83,72,56,18,2,290670
79,Cansanção,7,3,9,15,22,42,28,12,6,0,290680
80,Canudos,0,0,0,0,0,0,0,1,0,0,290682
81,Capela do Alto Alegre,0,0,0,0,0,5,6,2,1,0,290685
82,Capim Grosso,13,12,11,30,24,88,89,40,31,5,290687
83,Caraíbas,0,2,3,2,2,25,8,0,2,0,290689
84,Caravelas,4,3,3,16,10,33,21,13,6,2,290690
85,Cardeal da Silva,0,0,0,0,0,7,4,2,0,0,290700
86,Carinhanha,5,8,10,8,9,41,13,11,4,1,290710
87,Casa Nova,9,3,10,13,28,107,85,31,16,0,290720
88,Castro Alves,0,1,3,3,1,16,10,8,1,0,290730
89,Catolândia,1,0,0,0,0,0,0,0,0,0,290740
90,Catu,0,6,9,22,21,78,107,52,15,1,290750
91,Caturama,0,0,0,2,1,9,6,2,7,0,290755
92,Central,0,3,6,5,12,20,23,12,7,1,290760
93,Chorrochó,0,1,6,3,1,2,1,1,0,0,290770
94,Cícero Dantas,4,5,9,7,6,15,9,13,4,1,290780
95,Cipó,1,1,2,4,9,10,13,8,3,1,290790
96,Coaraci,6,3,5,9,3,15,10,4,0,0,290800
97,Cocos,0,0,0,0,0,1,0,0,0,0,290810
98,Conceição da Feira,8,7,28,39,46,156,178,84,34,7,290820
99,Conceição do Almeida,2,6,5,11,14,45,55,43,24,6,290830
100,Conceição do Coité,17,33,74,63,70,150,142,88,40,10,290840
101,Conceição do Jacuípe,3,28,42,49,49,193,163,69,34,14,290850
102,Conde,1,0,1,3,2,12,11,4,4,0,290860
103,Condeúba,2,4,17,12,41,82,63,23,9,4,290870
104,Contendas do Sincorá,0,2,12,15,18,40,25,7,6,2,290880
105,Coração de Maria,16,8,21,24,26,98,82,55,16,4,290890
106,Cordeiros,1,1,0,0,0,1,0,1,0,0,290900
107,Coribe,4,6,11,20,15,38,39,29,12,1,290910
108,Coronel João Sá,0,4,8,8,5,34,19,6,4,0,290920
109,Correntina,1,5,13,24,54,106,74,36,7,2,290930
110,Cotegipe,3,0,5,3,7,25,23,4,5,1,290940
111,Cravolândia,1,0,3,4,5,21,7,19,5,0,290950
112,Crisópolis,0,0,0,2,2,2,3,1,2,0,290960
113,Cristópolis,0,0,0,0,2,4,3,2,1,0,290970
114,Cruz das Almas,11,18,34,37,36,200,206,130,49,11,290980
115,Curaçá,3,7,10,17,21,76,59,42,5,4,290990
116,Dário Meira,6,6,10,13,13,22,17,7,4,0,291000
117,Dias d'Ávila,8,6,9,9,12,34,48,17,2,1,291005
118,Dom Basílio,0,0,2,11,11,25,26,12,8,0,291010
119,Dom Macedo Costa,0,0,3,1,4,12,8,3,0,0,291020
120,Elísio Medrado,2,0,2,0,5,5,7,2,1,0,291030
121,Encruzilhada,3,4,12,10,17,50,47,17,6,0,291040
122,Entre Rios,6,7,20,21,26,68,33,18,6,0,291050
123,Érico Cardoso,2,0,5,4,4,31,18,9,4,0,290050
