,Codigo,Município,Em Branco,Ignorado,Masculino,Feminino
0,290010,Abaíra,0,0,1,1
1,290020,Abaré,0,0,137,184
2,290030,Acajutiba,0,0,16,29
3,290035,Adustina,0,0,26,14
4,290040,Água Fria,0,0,47,59
5,290060,Aiquara,0,0,2,14
6,290070,Alagoinhas,0,5,520,750
7,290080,Alcobaça,0,0,16,29
8,290090,Almadina,0,0,23,27
9,290100,Amargosa,0,12,615,847
10,290110,Amélia Rodrigues,0,0,19,25
11,290115,América Dourada,0,0,37,41
12,290120,Anagé,0,0,14,12
13,290130,Andaraí,0,0,53,67
14,290135,Andorinha,0,0,26,33
15,290140,Angical,0,0,10,15
16,290150,Anguera,0,0,47,59
17,290160,Antas,0,0,20,24
18,290170,Antônio Cardoso,0,0,25,22
19,290180,Antônio Gonçalves,0,0,40,73
20,290190,Aporá,0,0,9,8
21,290195,Apuarema,0,0,17,51
22,290205,Araças,0,0,7,6
23,290200,Aracatu,0,0,24,32
24,290210,Araci,0,1,161,211
25,290220,Aramari,0,0,2,0
26,290225,Arataca,0,0,1,1
27,290230,Aratuípe,0,0,2,0
28,290240,Aurelino Leal,0,0,7,14
29,290250,Baianópolis,0,0,10,7
30,290260,Baixa Grande,0,0,143,209
31,290265,Banzaê,0,0,1,0
32,290270,Barra,0,0,14,27
33,290280,Barra da Estiva,0,0,12,25
34,290290,Barra do Choça,0,0,23,14
35,290300,Barra do Mendes,0,0,54,57
36,290310,Barra do Rocha,1,0,210,245
37,290320,Barreiras,0,1,425,462
38,290323,Barro Alto,0,0,48,79
39,290330,Barro Preto,0,0,28,28
40,290327,Barrocas,0,2,179,278
41,290340,Belmonte,0,0,3,8
42,290350,Belo Campo,0,0,9,15
43,290360,Biritinga,0,1,191,262
44,290370,Boa Nova,0,0,95,111
45,290380,Boa Vista do Tupim,0,0,39,79
46,290390,Bom Jesus da Lapa,0,0,125,149
47,290395,Bom Jesus da Serra,0,0,13,14
48,290400,Boninal,0,0,8,4
49,290405,Bonito,0,0,11,16
50,290410,Boquira,0,0,164,241
51,290420,Botuporã,0,0,25,45
52,290430,Brejões,0,0,94,160
53,290440,Brejolândia,0,0,20,23
54,290450,Brotas de Macaúbas,0,0,20,21
55,290460,Brumado,0,0,716,802
56,290470,Buerarema,0,0,26,20
57,290480,Caatiba,0,0,27,40
58,290485,Cabaceiras do Paraguaçu,0,0,40,62
59,290490,Cachoeira,0,0,49,80
60,290500,Caculé,0,0,120,164
61,290510,Caém,0,0,6,4
62,290515,Caetanos,0,0,34,54
63,290520,Caetité,0,0,191,243
64,290530,Cafarnaum,0,0,10,17
65,290540,Cairu,0,0,47,49
66,290550,Caldeirão Grande,0,0,14,22
67,290560,Camacan,0,0,69,85
68,290570,Camaçari,0,13,482,498
69,290580,Camamu,0,0,34,56
70,290590,Campo Alegre de Lourdes,0,0,1,2
71,290600,Campo Formoso,0,0,155,189
72,290610,Canápolis,0,0,23,32
73,290620,Canarana,0,0,77,121
74,290630,Canavieiras,0,0,46,73
75,290640,Candeal,0,0,7,10
76,290650,Candeias,0,2,287,315
77,290660,Candiba,0,0,10,9
78,290670,Cândido Sales,0,0,159,232
79,290680,Cansanção,0,0,65,79
80,290682,Canudos,0,0,1,0
81,290685,Capela do Alto Alegre,0,0,7,7
82,290687,Capim Grosso,0,25,137,181
83,290689,Caraíbas,0,0,23,21
84,290690,Caravelas,0,0,51,60
85,290700,Cardeal da Silva,0,0,9,4
86,290710,Carinhanha,0,0,50,60
87,290720,Casa Nova,0,0,109,193
88,290730,Castro Alves,0,0,11,32
89,290740,Catolândia,0,0,0,1
90,290750,Catu,0,0,135,176
91,290755,Caturama,0,0,10,17
92,290760,Central,0,0,39,50
93,290770,Chorrochó,0,0,9,6
94,290780,Cícero Dantas,0,0,35,38
95,290790,Cipó,0,0,26,26
96,290800,Coaraci,0,0,21,34
97,290810,Cocos,0,0,1,0
98,290820,Conceição da Feira,0,0,260,327
99,290830,Conceição do Almeida,0,0,81,130
100,290840,Conceição do Coité,0,0,307,380
101,290850,Conceição do Jacuípe,0,0,305,339
102,290860,Conde,0,0,18,20
103,290870,Condeúba,0,0,114,143
104,290880,Contendas do Sincorá,0,0,48,79
105,290890,Coração de Maria,0,0,156,194
106,290900,Cordeiros,0,0,2,2
107,290910,Coribe,0,0,91,84
108,290920,Coronel João Sá,0,0,31,57
109,290930,Correntina,0,0,161,161
110,290940,Cotegipe,0,0,28,48
111,290950,Cravolândia,0,0,29,36
112,290960,Crisópolis,0,0,7,5
113,290970,Cristópolis,0,0,6,6
114,290980,Cruz das Almas,0,1,303,428
115,290990,Curaçá,1,0,99,144
116,291000,Dário Meira,0,0,46,52
117,291005,Dias d'Ávila,0,0,61,85
118,291010,Dom Basílio,0,0,47,48
119,291020,Dom Macedo Costa,0,0,14,17
120,291030,Elísio Medrado,0,0,10,14
121,291040,Encruzilhada,0,0,62,104
122,291050,Entre Rios,0,3,81,122
123,290050,Érico Cardoso,0,0,26,51
124,291060,Esplanada,0,5,92,111
125,291070,Euclides da Cunha,0,0,208,193
126,291072,Eunápolis,0,0,406,414
127,291075,Fátima,0,0,77,107
128,291077,Feira da Mata,0,0,5,7
129,291080,Feira de Santana,0,4,0,0
130,291085,Filadélfia,0,0,20,51
131,291090,Firmino Alves,0,0,38,52
132,291100,Floresta Azul,0,0,5,5
133,291110,Formosa do Rio Preto,0,0,1,0
134,291120,Gandu,0,0,103,164
135,291125,Gavião,0,0,14,28
136,291130,Gentio do Ouro,0,0,4,9
137,291140,Glória,0,0,24,16
138,291150,Gongogi,0,0,7,11
139,291160,Governador Mangabeira,0,1,70,95
140,291165,Guajeru,0,0,7,12
141,291170,Guanambi,0,0,257,382
142,291180,Guaratinga,0,0,9,9
143,291185,Heliópolis,0,0,8,17
144,291190,Iaçu,0,0,94,207
145,291200,Ibiassucê,0,0,135,164
146,291210,Ibicaraí,0,1,62,70
147,291220,Ibicoara,0,0,6,6
148,291230,Ibicuí,0,0,73,92
149,291240,Ibipeba,0,0,42,74
150,291250,Ibipitanga,0,0,115,169
151,291260,Ibiquera,0,0,42,39
152,291270,Ibirapitanga,0,0,36,48
153,291280,Ibirapuã,0,0,14,31
154,291290,Ibirataia,0,0,134,177
155,291300,Ibitiara,0,0,26,38
156,291310,Ibititá,0,0,52,65
157,291320,Ibotirama,0,0,34,53
158,291330,Ichu,1,1,46,43
159,291340,Igaporã,0,0,2,4
160,291345,Igrapiúna,0,0,3,4
161,291350,Iguaí,0,2,168,189
162,291360,Ilhéus,1,0,253,325
163,291370,Inhambupe,0,0,113,169
164,291380,Ipecaetá,0,0,14,34
165,291390,Ipiaú,0,0,399,499
166,291400,Ipirá,0,0,22,26
167,291410,Ipupiara,0,0,30,41
168,291420,Irajuba,0,0,91,129
169,291430,Iramaia,0,0,66,61
