,Codigo,Municipio,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
0,290010,Abaíra,0,0,0,0,0,0,0,1,0,0,0,0
1,290020,Abaré,0,0,0,1,0,0,0,0,0,0,1,0
2,290030,Acajutiba,0,0,0,0,0,1,0,1,0,0,0,1
3,290035,Adustina,5,0,0,0,3,0,0,0,1,0,0,0
4,290040,Água Fria,0,0,0,0,1,0,0,0,0,0,0,0
5,290060,Aiquara,0,4,3,0,1,0,0,0,0,0,0,1
6,290070,Alagoinhas,14,12,10,0,14,10,8,7,2,1,4,10
7,290080,Alcobaça,0,0,0,0,0,0,0,0,0,0,2,1
8,290100,Amargosa,0,1,0,0,1,2,0,0,0,0,0,0
9,290110,Amélia Rodrigues,0,1,0,0,0,0,0,0,0,0,0,0
10,290115,América Dourada,0,5,29,5,2,0,0,0,2,0,0,0
11,290120,Anagé,0,1,0,0,1,0,0,0,0,0,0,0
12,290130,Andaraí,0,0,0,0,0,0,0,1,0,0,1,0
13,290135,Andorinha,0,1,1,1,1,1,0,0,0,0,0,0
14,290140,Angical,3,5,147,219,79,25,6,1,0,0,0,1
15,290160,Antas,0,0,0,0,1,1,0,0,0,0,0,0
16,290170,Antônio Cardoso,0,10,0,0,0,1,1,0,0,1,0,0
17,290195,Apuarema,1,0,0,2,0,0,0,1,0,0,0,0
18,290200,Aracatu,1,0,1,1,1,0,0,1,0,0,0,0
19,290210,Araci,10,4,6,6,3,5,2,1,6,1,1,5
20,290240,Aurelino Leal,0,0,1,1,2,0,0,1,0,0,0,0
21,290250,Baianópolis,0,2,4,38,12,3,7,1,1,0,0,0
22,290270,Barra,1,0,0,21,27,13,12,12,6,1,1,0
23,290280,Barra da Estiva,1,0,0,3,0,0,0,0,0,0,0,0
24,290290,Barra do Choça,3,1,2,5,1,0,0,0,1,0,0,0
25,290300,Barra do Mendes,8,3,33,132,21,18,4,0,0,0,1,1
26,290310,Barra do Rocha,1,1,1,0,2,0,0,0,0,1,0,1
27,290320,Barreiras,600,0,0,0,507,106,49,6,8,3,1,2
28,290323,Barro Alto,0,0,0,0,0,0,0,0,0,0,16,12
29,290330,Barro Preto,0,0,0,1,1,0,0,1,1,0,0,0
30,290327,Barrocas,0,0,0,0,0,0,0,0,1,1,0,0
31,290340,Belmonte,0,0,0,0,2,0,0,1,0,1,1,0
32,290350,Belo Campo,0,0,0,0,1,0,0,0,0,0,0,1
33,290360,Biritinga,0,0,0,0,0,0,0,0,0,0,1,0
34,290370,Boa Nova,1,1,1,2,0,0,0,0,0,0,0,0
35,290380,Boa Vista do Tupim,0,1,0,0,0,0,0,0,0,0,0,0
36,290390,Bom Jesus da Lapa,5,7,47,143,151,94,62,30,13,5,5,32
37,290395,Bom Jesus da Serra,0,0,1,0,0,0,0,0,0,0,0,0
38,290405,Bonito,1,0,0,1,0,0,1,1,0,0,0,0
39,290410,Boquira,0,0,0,0,13,1,1,1,1,0,0,1
40,290420,Botuporã,0,0,1,2,13,17,13,2,1,2,4,1
41,290430,Brejões,2,1,2,3,8,0,0,0,0,0,0,0
42,290440,Brejolândia,0,0,0,0,0,2,0,1,0,0,0,0
43,290450,Brotas de Macaúbas,0,0,5,21,116,75,96,8,2,0,2,0
44,290460,Brumado,3,8,14,5,4,4,3,3,1,3,4,4
45,290470,Buerarema,1,0,1,5,0,1,2,1,1,0,1,0
46,290475,Buritirama,0,0,0,1,2,4,3,1,0,0,0,0
47,290480,Caatiba,0,0,0,0,1,1,0,0,0,0,0,2
48,290490,Cachoeira,0,0,0,0,0,0,0,0,2,0,0,0
49,290500,Caculé,1,0,0,2,0,0,0,0,0,0,0,0
50,290510,Caém,0,0,0,0,0,0,0,1,4,0,0,0
51,290515,Caetanos,4,2,1,0,0,0,0,0,0,0,0,2
52,290520,Caetité,1,2,1,0,3,2,0,0,1,0,1,1
53,290530,Cafarnaum,6,5,7,10,23,19,5,4,2,1,1,1
54,290540,Cairu,0,0,0,0,1,0,0,0,0,0,0,0
55,290560,Camacan,1,1,1,1,3,0,0,0,0,0,0,1
56,290570,Camaçari,9,42,9,11,38,18,19,8,10,7,14,39
57,290580,Camamu,0,0,0,0,0,0,3,1,0,0,0,0
58,290590,Campo Alegre de Lourdes,0,0,0,0,0,1,8,3,0,0,0,0
59,290600,Campo Formoso,0,2,5,1,5,0,1,0,0,1,0,0
60,290610,Canápolis,0,0,47,9,2,9,10,0,0,0,0,0
61,290620,Canarana,0,1,8,34,71,49,9,2,2,1,4,1
62,290630,Canavieiras,0,0,0,0,0,0,3,1,0,0,2,24
63,290640,Candeal,0,0,0,0,1,1,1,0,1,0,0,0
64,290650,Candeias,2,3,1,0,8,18,5,5,3,4,1,2
65,290660,Candiba,1,0,2,1,4,0,0,0,1,0,2,1
66,290670,Cândido Sales,1,7,1,2,3,0,1,0,2,0,0,1
67,290680,Cansanção,1,1,2,0,0,0,0,0,0,0,0,0
68,290685,Capela do Alto Alegre,0,0,2,0,0,0,0,0,0,0,0,0
69,290687,Capim Grosso,0,0,0,0,1,0,0,0,0,0,0,0
70,290689,Caraíbas,3,1,2,2,1,0,1,0,1,0,0,0
71,290690,Caravelas,0,0,0,0,4,2,0,2,1,0,0,25
72,290710,Carinhanha,11,21,48,126,54,22,6,0,1,0,0,4
73,290720,Casa Nova,1,0,2,2,6,0,0,0,0,0,0,0
74,290730,Castro Alves,0,1,0,0,0,0,0,0,0,0,1,0
75,290740,Catolândia,1,26,14,5,0,3,0,0,0,0,0,0
