UF,Município,População 2010
BA,Abaíra,8316
BA,Abaré,17064
BA,Acajutiba,14653
BA,Adustina,15702
BA,Água Fria,15731
BA,Érico Cardoso,10859
BA,Aiquara,4602
BA,Alagoinhas,141949
BA,Alcobaça,21271
BA,Almadina,6357
BA,Amargosa,34351
BA,Amélia Rodrigues,25190
BA,América Dourada,15961
BA,Anagé,25516
BA,Andaraí,13960
BA,Andorinha,14414
BA,Angical,14073
BA,Anguera,10242
BA,Antas,17072
BA,Antônio Cardoso,11554
BA,Antônio Gonçalves,11015
BA,Aporá,17731
BA,Apuarema,7459
BA,Aracatu,13743
BA,Araças,11561
BA,Araci,51651
BA,Aramari,10036
BA,Arataca,10392
BA,Aratuípe,8599
BA,Aurelino Leal,13595
BA,Baianópolis,13850
BA,Baixa Grande,20060
BA,Banzaê,11814
BA,Barra,49325
BA,Barra da Estiva,21187
BA,Barra do Choça,34788
BA,Barra do Mendes,13987
BA,Barra do Rocha,6313
BA,Barreiras,137427
BA,Barro Alto,13612
BA,Barro Preto,8602
BA,Barrocas,14191
BA,Governador Lomanto Júnior,6453
BA,Belmonte,21798
BA,Belo Campo,16021
BA,Biritinga,14836
BA,Boa Nova,15411
BA,Boa Vista do Tupim,17991
BA,Bom Jesus da Lapa,63480
BA,Bom Jesus da Serra,10113
BA,Boninal,13695
BA,Bonito,14834
BA,Boquira,22037
BA,Botuporã,11154
BA,Brejões,14282
BA,Brejolândia,11077
BA,Brotas de Macaúbas,10717
BA,Brumado,64602
BA,Buerarema,18605
BA,Buritirama,19600
BA,Caatiba,11420
BA,Cabaceiras do Paraguaçu,17327
BA,Cachoeira,32026
BA,Caculé,22236
BA,Caém,10368
BA,Caetanos,13639
BA,Caetité,47515
BA,Cafarnaum,17209
BA,Cairu,15374
BA,Caldeirão Grande,12491
BA,Camacan,31472
BA,Camaçari,242970
BA,Camamu,35180
BA,Campo Alegre de Lourdes,28090
BA,Campo Formoso,66616
BA,Canápolis,9410
BA,Canarana,24067
BA,Canavieiras,32336
BA,Candeal,8895
BA,Candeias,83158
BA,Candiba,13210
BA,Cândido Sales,27918
BA,Cansanção,32908
BA,Canudos,15732
BA,Capela do Alto Alegre,11527
BA,Capim Grosso,26577
BA,Caraíbas,10222
BA,Caravelas,21414
BA,Cardeal da Silva,8899
BA,Carinhanha,28380
BA,Casa Nova,64940
BA,Castro Alves,25408
BA,Catolândia,2612
BA,Catu,51077
BA,Caturama,8843
BA,Central,17013
BA,Chorrochó,10734
BA,Cícero Dantas,32300
BA,Cipó,15755
BA,Coaraci,20964
BA,Cocos,18153
BA,Conceição da Feira,20391
BA,Conceição do Almeida,17889
BA,Conceição do Coité,62040
BA,Conceição do Jacuípe,30123
BA,Conde,23620
BA,Condeúba,16898
BA,Contendas do Sincorá,4663
BA,Coração de Maria,22401
BA,Cordeiros,8168
BA,Coribe,14307
BA,Coronel João Sá,17066
BA,Correntina,31249
BA,Cotegipe,13636
BA,Cravolândia,5041
BA,Crisópolis,20046
BA,Cristópolis,13280
BA,Cruz das Almas,58606
BA,Curaçá,32168
BA,Dário Meira,12836
BA,Dias D´ávila,66440
BA,Dom Basílio,11355
BA,Dom Macedo Costa,3874
BA,Elísio Medrado,7947
BA,Encruzilhada,23766
BA,Entre Rios,39872
BA,Esplanada,32802
BA,Euclides da Cunha,56289
BA,Eunápolis,100196
BA,Fátima,17652
BA,Feira da Mata,6184
BA,Feira de Santana,556642
BA,Filadélfia,16740
BA,Firmino Alves,5384
BA,Floresta Azul,10660
BA,Formosa do Rio Preto,22528
BA,Gandu,30336
BA,Gavião,4561
BA,Gentio do Ouro,10622
BA,Glória,15076
BA,Gongogi,8357
BA,Governador Mangabeira,19818
BA,Guajeru,10412
BA,Guanambi,78833
BA,Guaratinga,22165
BA,Heliópolis,13192
BA,Iaçu,25736
BA,Ibiassucê,10062
BA,Ibicaraí,24272
BA,Ibicoara,17282
BA,Ibicuí,15785
BA,Ibipeba,17008
BA,Ibipitanga,14171
BA,Ibiquera,4866
BA,Ibirapitanga,22598
BA,Ibirapuã,7956
BA,Ibirataia,18943
BA,Ibitiara,15508
BA,Ibititá,17840
BA,Ibotirama,25424
BA,Ichu,5255
BA,Igaporã,15205
BA,Igrapiúna,13343
BA,Iguaí,25705
BA,Ilhéus,184236
BA,Inhambupe,36306
BA,Ipecaetá,15331
BA,Ipiaú,44390
BA,Ipirá,59343
BA,Ipupiara,9285
BA,Irajuba,7002
BA,Iramaia,11990
BA,Iraquara,22601
BA,Irará,27466
BA,Irecê,66181
BA,Itabela,28390
BA,Itaberaba,61631
BA,Itabuna,204667
BA,Itacaré,24318
BA,Itaeté,14924
BA,Itagi,13051
BA,Itagibá,15193
BA,Itagimirim,7110
BA,Itaguaçu da Bahia,13209
BA,Itaju do Colônia,7309
BA,Itajuípe,21081
BA,Itamaraju,63069
BA,Itamari,7903
BA,Itambé,23089
BA,Itanagra,7598
BA,Itanhém,20216
BA,Itaparica,20725
BA,Itapé,10995
BA,Itapebi,10495
BA,Itapetinga,68273
BA,Itapicuru,32261
BA,Itapitanga,10207
BA,Itaquara,7678
BA,Itarantim,18539
BA,Itatim,14522
BA,Itiruçu,12693
BA,Itiúba,36113
BA,Itororó,19914
BA,Ituaçu,18127
BA,Ituberá,26591
BA,Iuiú,10900
BA,Jaborandi,8973
BA,Jacaraci,13651
BA,Jacobina,79247
BA,Jaguaquara,51011
BA,Jaguarari,30343
BA,Jaguaripe,16467
BA,Jandaíra,10331
BA,Jequié,151895
BA,Jeremoabo,37680
BA,Jiquiriçá,14118
BA,Jitaúna,14115
BA,João Dourado,22549
BA,Juazeiro,197965
BA,Jucuruçu,10290
BA,Jussara,15052
BA,Jussari,6474
BA,Jussiape,8031
BA,Lafaiete Coutinho,3901
BA,Lagoa Real,13934
BA,Laje,22201
BA,Lajedão,3733
BA,Lajedinho,3936
BA,Lajedo do Tabocal,8305
BA,Lamarão,9560
BA,Lapão,25646
BA,Lauro de Freitas,163449
BA,Lençóis,10368
BA,Licínio de Almeida,12311
BA,Livramento de Nossa Senhora,42693
BA,Luís Eduardo Magalhães,60105
BA,Macajuba,11229
BA,Macarani,17093
BA,Macaúbas,47051
