,Codigo,Município,2021
0,290010,Abaíra,1
1,290020,Abaré,2
2,290030,Acajutiba,3
3,290035,Adustina,9
4,290040,Água Fria,1
5,290060,Aiquara,9
6,290070,Alagoinhas,92
7,290080,Alcobaça,3
8,290100,Amargosa,4
9,290110,Amélia Rodrigues,1
10,290115,América Dourada,43
11,290120,Anagé,2
12,290130,Andaraí,2
13,290135,Andorinha,5
14,290140,Angical,486
15,290160,Antas,2
16,290170,Antônio Cardoso,13
17,290180,Antônio Gonçalves,1
18,290195,Apuarema,4
19,290200,Aracatu,5
20,290210,Araci,53
21,290240,Aurelino Leal,5
22,290250,Baianópolis,68
23,290270,Barra,94
24,290280,Barra da Estiva,4
25,290290,Barra do Choça,13
26,290300,Barra do Mendes,221
27,290310,Barra do Rocha,7
28,290320,Barreiras,6642
29,290323,Barro Alto,28
30,290330,Barro Preto,4
31,290327,Barrocas,3
32,290340,Belmonte,5
33,290350,Belo Campo,2
34,290360,Biritinga,1
35,290370,Boa Nova,5
36,290380,Boa Vista do Tupim,1
37,290390,Bom Jesus da Lapa,594
38,290395,Bom Jesus da Serra,1
39,290405,Bonito,4
40,290410,Boquira,18
41,290420,Botuporã,56
42,290430,Brejões,16
43,290440,Brejolândia,3
44,290450,Brotas de Macaúbas,325
45,290460,Brumado,56
46,290470,Buerarema,13
47,290475,Buritirama,11
48,290480,Caatiba,4
49,290490,Cachoeira,2
50,290500,Caculé,3
51,290510,Caém,5
52,290515,Caetanos,9
53,290520,Caetité,12
54,290530,Cafarnaum,84
55,290540,Cairu,1
56,290560,Camacan,8
57,290570,Camaçari,224
58,290580,Camamu,4
59,290590,Campo Alegre de Lourdes,12
60,290600,Campo Formoso,15
61,290610,Canápolis,77
62,290620,Canarana,182
63,290630,Canavieiras,30
64,290640,Candeal,4
65,290650,Candeias,52
66,290660,Candiba,12
67,290670,Cândido Sales,19
68,290680,Cansanção,4
69,290685,Capela do Alto Alegre,2
70,290687,Capim Grosso,1
71,290689,Caraíbas,11
72,290690,Caravelas,34
73,290710,Carinhanha,293
74,290720,Casa Nova,11
75,290730,Castro Alves,2
76,290740,Catolândia,49
77,290750,Catu,21
78,290755,Caturama,12
79,290760,Central,9
80,290780,Cícero Dantas,6
81,290800,Coaraci,282
82,290810,Cocos,46
83,290820,Conceição da Feira,5
84,290830,Conceição do Almeida,5
85,290840,Conceição do Coité,14
86,290850,Conceição do Jacuípe,10
87,290860,Conde,4
88,290870,Condeúba,6
89,290880,Contendas do Sincorá,5
90,290890,Coração de Maria,3
91,290900,Cordeiros,3
92,290910,Coribe,166
93,290920,Coronel João Sá,27
94,290930,Correntina,556
95,290940,Cotegipe,177
96,290970,Cristópolis,65
97,290980,Cruz das Almas,12
98,290990,Curaçá,8
99,291000,Dário Meira,128
100,291005,Dias d'Ávila,25
101,291010,Dom Basílio,10
102,291030,Elísio Medrado,3
103,291040,Encruzilhada,8
104,290050,Érico Cardoso,2
105,291060,Esplanada,10
106,291070,Euclides da Cunha,4
107,291072,Eunápolis,18
108,291075,Fátima,4
109,291077,Feira da Mata,67
110,291080,Feira de Santana,729
111,291085,Filadélfia,1
112,291110,Formosa do Rio Preto,861
113,291120,Gandu,54
114,291130,Gentio do Ouro,19
115,291140,Glória,1
116,291150,Gongogi,1
117,291160,Governador Mangabeira,6
118,291165,Guajeru,1
119,291170,Guanambi,1744
120,291180,Guaratinga,1
121,291185,Heliópolis,1
122,291190,Iaçu,8
123,291200,Ibiassucê,1
124,291210,Ibicaraí,6
125,291220,Ibicoara,6
126,291230,Ibicuí,14
127,291240,Ibipeba,50
128,291250,Ibipitanga,21
129,291270,Ibirapitanga,4
130,291290,Ibirataia,12
131,291300,Ibitiara,13
132,291310,Ibititá,4
133,291320,Ibotirama,603
134,291330,Ichu,2
135,291340,Igaporã,164
136,291350,Iguaí,56
137,291360,Ilhéus,126
138,291370,Inhambupe,18
139,291380,Ipecaetá,2
140,291390,Ipiaú,176
141,291400,Ipirá,5
142,291410,Ipupiara,193
143,291440,Iraquara,3
144,291450,Irará,2
145,291460,Irecê,376
146,291465,Itabela,5
147,291470,Itaberaba,155
148,291480,Itabuna,649
149,291490,Itacaré,5
150,291510,Itagi,7
151,291520,Itagibá,180
152,291535,Itaguaçu da Bahia,34
153,291550,Itajuípe,162
154,291560,Itamaraju,207
155,291570,Itamari,12
156,291580,Itambé,12
157,291590,Itanagra,1
158,291600,Itanhém,1
