,Codigo,Município,2016,2017,2018,2019,2020,2021
0,290020,Abaré,11,1,1,1,-,-
1,290030,Acajutiba,-,-,-,21,15,-
2,290035,Adustina,1,2,1,1,1,2
3,290040,Água Fria,-,-,-,2,87,1
4,290060,Aiquara,16,2,-,-,4,1
5,290070,Alagoinhas,17,2,2,95,1179,63
6,290080,Alcobaça,127,310,17,27,62,-
7,290090,Almadina,357,-,-,-,-,-
8,290100,Amargosa,28,3,1,-,148,-
9,290110,Amélia Rodrigues,30,1,-,2,27,-
10,290115,América Dourada,159,1,-,31,32,31
11,290120,Anagé,-,-,-,-,1,1
12,290130,Andaraí,13,-,3,-,137,-
13,290135,Andorinha,95,1,-,1,-,-
14,290140,Angical,-,3,1,1,-,1
15,290150,Anguera,96,-,-,5,94,-
16,290160,Antas,396,-,-,2,7,-
17,290170,Antônio Cardoso,-,1,-,-,29,3
18,290180,Antônio Gonçalves,141,-,-,-,1,-
19,290190,Aporá,36,-,-,1,19,-
20,290195,Apuarema,4,-,1,-,-,1
21,290205,Araças,-,-,1,2,3,-
22,290210,Araci,21,4,1,7,39,20
23,290225,Arataca,7,1,-,-,-,-
24,290230,Aratuípe,2,-,-,-,-,-
25,290240,Aurelino Leal,2,-,-,-,-,-
26,290250,Baianópolis,1,-,-,8,-,20
27,290260,Baixa Grande,225,134,-,-,28,-
28,290265,Banzaê,92,1,-,11,2,-
29,290270,Barra,33,2,1,1,2,33
30,290280,Barra da Estiva,8,-,-,-,7,-
31,290290,Barra do Choça,-,2,-,1,3,1
32,290300,Barra do Mendes,-,2,-,4,2,3
33,290310,Barra do Rocha,8,-,-,-,6,-
34,290320,Barreiras,79,74,9,11,39,4334
35,290323,Barro Alto,-,-,-,13,31,-
36,290330,Barro Preto,297,7,-,-,-,-
37,290327,Barrocas,3,-,-,-,58,1
38,290340,Belmonte,17,23,31,-,-,-
39,290350,Belo Campo,-,-,-,-,3,-
40,290360,Biritinga,-,-,-,2,272,-
41,290370,Boa Nova,2,-,-,1,20,-
42,290380,Boa Vista do Tupim,336,3,-,1,47,1
43,290390,Bom Jesus da Lapa,20,3,5,3,22,23
44,290395,Bom Jesus da Serra,6,-,-,-,-,1
45,290400,Boninal,6,-,-,3,1,-
46,290405,Bonito,12,-,1,-,-,-
47,290410,Boquira,4,4,-,5,176,6
48,290420,Botuporã,17,8,-,1,2,2
49,290430,Brejões,1,-,-,4,25,1
50,290440,Brejolândia,-,-,8,-,-,-
51,290450,Brotas de Macaúbas,42,2,4,18,4,287
52,290460,Brumado,29,4,2,16,18,4
53,290470,Buerarema,964,8,-,2,1,-
54,290475,Buritirama,2,1,2,-,-,5
55,290480,Caatiba,11,3,-,-,-,-
56,290485,Cabaceiras do Paraguaçu,2,-,-,1,4,-
57,290490,Cachoeira,3,-,2,6,105,-
58,290500,Caculé,49,-,-,-,2,1
59,290510,Caém,4,4,2,-,-,1
60,290515,Caetanos,1,-,-,-,1,2
61,290520,Caetité,18,3,-,3,-,1
62,290530,Cafarnaum,4,3,-,8,3,40
63,290540,Cairu,10,-,-,2,2,-
64,290550,Caldeirão Grande,48,1,1,-,1,-
65,290560,Camacan,1069,4,1,1,8,2
66,290570,Camaçari,63,40,279,849,967,100
67,290580,Camamu,164,-,3,-,5,1
68,290590,Campo Alegre de Lourdes,-,1,1,-,-,13
