,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+
0,Abaré,0,0,0,0,0,0,1,0,0,0
1,Adustina,0,0,0,1,0,0,0,0,1,0
2,Aiquara,0,0,0,0,1,1,0,0,0,0
3,Alagoinhas,0,0,0,0,0,0,2,0,0,0
4,Alcobaça,1,1,14,16,30,91,75,52,27,3
5,Amargosa,0,0,0,0,0,1,2,0,0,0
6,Amélia Rodrigues,0,0,0,0,0,1,0,0,0,0
7,América Dourada,0,0,0,0,0,1,0,0,0,0
8,Andorinha,0,0,0,0,0,0,0,1,0,0
9,Angical,0,0,0,0,0,0,2,1,0,0
10,Antônio Cardoso,1,0,0,0,0,0,0,0,0,0
11,Araci,0,0,1,0,0,3,0,0,0,0
12,Arataca,0,0,0,0,0,0,0,0,0,1
13,Baixa Grande,1,2,3,7,14,29,34,27,15,2
14,Banzaê,0,0,0,0,0,0,0,1,0,0
15,Barra,0,0,0,1,0,1,0,0,0,0
16,Barra do Choça,0,0,0,0,0,1,0,1,0,0
17,Barra do Mendes,0,0,0,0,0,0,1,1,0,0
18,Barreiras,0,1,1,3,6,19,31,10,2,1
19,Barro Preto,0,0,1,0,0,1,3,2,0,0
20,Belmonte,2,0,0,1,1,7,4,5,2,1
21,Boa Vista do Tupim,0,0,0,1,0,0,2,0,0,0
22,Bom Jesus da Lapa,0,0,0,0,0,1,0,2,0,0
23,Boquira,2,0,0,0,0,0,2,0,0,0
24,Botuporã,0,0,0,0,0,4,3,0,1,0
25,Brotas de Macaúbas,0,0,1,0,1,0,0,0,0,0
26,Brumado,1,0,0,0,0,1,0,2,0,0
27,Buerarema,0,0,0,0,1,1,4,2,0,0
28,Buritirama,0,0,0,1,0,0,0,0,0,0
29,Caatiba,0,0,0,0,0,1,2,0,0,0
30,Caém,0,0,0,0,0,1,2,0,1,0
31,Caetité,1,0,0,0,0,1,1,0,0,0
32,Cafarnaum,1,0,0,0,0,2,0,0,0,0
33,Caldeirão Grande,0,0,0,0,0,1,0,0,0,0
34,Camacan,0,0,0,1,2,1,0,0,0,0
35,Camaçari,0,1,1,0,1,15,12,8,2,0
36,Campo Alegre de Lourdes,0,0,0,0,0,0,1,0,0,0
37,Campo Formoso,1,0,0,1,0,0,2,0,0,0
38,Canarana,0,0,0,0,0,0,1,0,1,0
39,Canavieiras,0,1,0,0,2,4,4,5,2,1
40,Candeal,0,0,0,0,0,0,0,1,0,0
41,Candeias,1,0,0,0,1,4,3,1,0,1
42,Cândido Sales,3,1,10,4,9,21,26,18,11,2
43,Cansanção,0,1,0,0,0,4,0,1,0,0
44,Capim Grosso,0,0,0,0,0,0,1,0,0,0
45,Caravelas,2,0,8,11,12,29,55,23,11,4
46,Casa Nova,0,0,1,0,0,2,1,0,0,0
47,Catu,0,0,0,0,0,0,0,1,0,0
48,Coaraci,1,0,1,0,1,6,6,6,3,3
49,Conceição do Almeida,0,0,0,1,0,0,0,0,0,0
50,Conde,0,2,0,2,0,2,11,4,2,0
51,Condeúba,0,0,0,0,0,0,1,0,0,0
52,Coração de Maria,0,0,0,0,0,0,1,0,0,0
53,Coronel João Sá,0,0,0,0,0,0,1,0,1,0
54,Cruz das Almas,0,0,0,0,0,2,0,0,0,0
