,Município,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
0,290020 Abaré,0,0,1,0,0,0,0,0,0,0,0,0
1,290035 Adustina,0,0,0,0,0,0,0,1,0,1,0,0
2,290060 Aiquara,0,0,0,0,0,0,0,0,1,0,1,0
3,290070 Alagoinhas,0,0,0,0,0,0,0,1,1,0,0,0
4,290080 Alcobaça,19,48,39,34,38,56,35,23,8,4,2,4
5,290100 Amargosa,1,0,1,0,1,0,0,0,0,0,0,0
6,290110 Amélia Rodrigues,0,0,0,0,0,0,0,1,0,0,0,0
7,290115 América Dourada,0,0,1,0,0,0,0,0,0,0,0,0
8,290135 Andorinha,0,0,1,0,0,0,0,0,0,0,0,0
9,290140 Angical,1,0,0,1,0,1,0,0,0,0,0,0
10,290170 Antônio Cardoso,0,0,0,0,1,0,0,0,0,0,0,0
11,290210 Araci,1,0,2,0,1,0,0,0,0,0,0,0
12,290225 Arataca,0,0,0,0,0,0,1,0,0,0,0,0
13,290260 Baixa Grande,16,9,6,1,17,48,16,20,1,0,0,0
14,290265 Banzaê,0,0,0,0,0,0,0,0,0,1,0,0
15,290270 Barra,0,0,0,2,0,0,0,0,0,0,0,0
16,290290 Barra do Choça,1,0,0,1,0,0,0,0,0,0,0,0
17,290300 Barra do Mendes,0,1,1,0,0,0,0,0,0,0,0,0
18,290320 Barreiras,1,1,2,14,22,12,3,5,8,3,1,2
19,290330 Barro Preto,3,3,0,0,0,0,0,0,1,0,0,0
20,290340 Belmonte,0,0,0,0,1,0,2,20,0,0,0,0
21,290380 Boa Vista do Tupim,0,0,2,0,0,0,1,0,0,0,0,0
22,290390 Bom Jesus da Lapa,0,0,0,0,0,0,0,1,0,0,1,1
23,290410 Boquira,0,1,0,0,2,0,0,0,0,0,1,0
24,290420 Botuporã,1,2,3,0,0,0,0,0,0,0,0,2
25,290450 Brotas de Macaúbas,0,0,0,2,0,0,0,0,0,0,0,0
26,290460 Brumado,0,1,0,0,1,1,0,0,0,0,1,0
27,290470 Buerarema,2,2,0,0,0,0,0,0,0,0,2,2
28,290475 Buritirama,0,0,0,0,0,0,0,0,0,0,0,1
29,290480 Caatiba,0,0,0,0,0,3,0,0,0,0,0,0
30,290510 Caém,0,0,0,1,1,1,1,0,0,0,0,0
31,290520 Caetité,0,0,2,0,1,0,0,0,0,0,0,0
32,290530 Cafarnaum,0,0,3,0,0,0,0,0,0,0,0,0
33,290550 Caldeirão Grande,1,0,0,0,0,0,0,0,0,0,0,0
34,290560 Camacan,0,0,1,2,1,0,0,0,0,0,0,0
35,290570 Camaçari,2,2,1,0,0,5,4,12,4,1,6,3
36,290590 Campo Alegre de Lourdes,0,0,0,0,0,0,1,0,0,0,0,0
37,290600 Campo Formoso,0,1,0,0,1,1,0,0,0,1,0,0
38,290620 Canarana,0,0,1,0,0,0,0,0,0,0,1,0
39,290630 Canavieiras,0,1,2,1,3,3,2,1,2,3,1,0
40,290640 Candeal,0,0,0,1,0,0,0,0,0,0,0,0
41,290650 Candeias,1,2,0,7,0,1,0,0,0,0,0,0
42,290670 Cândido Sales,26,29,30,15,4,1,0,0,0,0,0,0
43,290680 Cansanção,1,1,1,0,0,3,0,0,0,0,0,0
44,290687 Capim Grosso,0,0,0,0,1,0,0,0,0,0,0,0
45,290690 Caravelas,39,46,48,3,14,5,0,0,0,0,0,0
46,290720 Casa Nova,0,0,3,0,0,1,0,0,0,0,0,0
47,290750 Catu,0,1,0,0,0,0,0,0,0,0,0,0
48,290800 Coaraci,2,1,4,14,4,1,0,0,0,1,0,0
49,290830 Conceição do Almeida,0,0,1,0,0,0,0,0,0,0,0,0
50,290860 Conde,15,3,2,0,0,1,0,0,1,1,0,0
51,290870 Condeúba,0,1,0,0,0,0,0,0,0,0,0,0
52,290890 Coração de Maria,0,0,0,0,0,0,0,0,1,0,0,0
53,290920 Coronel João Sá,1,0,0,0,1,0,0,0,0,0,0,0
54,290980 Cruz das Almas,0,1,0,1,0,0,0,0,0,0,0,0
55,290990 Curaçá,0,0,0,0,1,0,0,1,0,0,0,0
56,291005 Dias d'Ávila,13,5,1,0,1,0,1,2,1,1,0,0
57,291040 Encruzilhada,0,0,2,0,0,0,0,0,0,0,0,0
58,291050 Entre Rios,0,0,1,0,0,0,0,0,0,0,0,0
