,Município,Em Branco,Ignorado,Masculino,Feminino
0,Abaré,0,0,4,7
1,Adustina,0,0,0,1
2,Aiquara,0,0,4,12
3,Alagoinhas,0,0,8,9
4,Alcobaça,0,1,52,74
5,Almadina,0,0,142,215
6,Amargosa,0,0,5,23
7,Amélia Rodrigues,0,0,10,20
8,América Dourada,0,0,49,110
9,Andaraí,0,0,6,7
10,Andorinha,0,0,42,53
11,Anguera,0,0,26,70
12,Antas,0,0,139,257
13,Antônio Gonçalves,0,0,59,82
14,Aporá,0,0,8,28
15,Apuarema,0,0,0,4
16,Araci,0,0,7,14
17,Arataca,0,0,0,7
18,Aratuípe,0,0,2,0
19,Aurelino Leal,0,0,0,2
20,Baianópolis,0,0,1,0
21,Baixa Grande,0,0,87,138
22,Banzaê,0,0,13,79
23,Barra,0,0,10,23
24,Barra da Estiva,0,0,4,4
25,Barra do Rocha,0,0,3,5
26,Barreiras,0,0,15,64
27,Barro Preto,0,0,138,159
28,Barrocas,0,0,0,3
29,Belmonte,0,0,6,11
30,Boa Nova,0,0,0,2
31,Boa Vista do Tupim,0,0,131,205
32,Bom Jesus da Lapa,0,0,5,15
33,Bom Jesus da Serra,0,0,0,6
34,Boninal,0,0,2,4
35,Bonito,0,0,2,10
36,Boquira,0,0,0,4
37,Botuporã,0,0,8,9
38,Brejões,0,0,0,1
39,Brotas de Macaúbas,0,0,11,31
40,Brumado,0,0,10,19
41,Buerarema,0,0,361,603
42,Buritirama,0,0,2,0
43,Caatiba,0,0,3,8
44,Cabaceiras do Paraguaçu,0,0,0,2
45,Cachoeira,0,0,3,0
46,Caculé,0,0,12,37
47,Caém,0,0,4,0
48,Caetanos,0,0,1,0
49,Caetité,0,0,4,14
50,Cafarnaum,0,0,2,2
51,Cairu,0,0,4,6
52,Caldeirão Grande,0,0,14,34
53,Camacan,0,0,393,676
54,Camaçari,0,0,28,35
55,Camamu,0,0,66,98
56,Campo Formoso,0,0,325,606
57,Canarana,0,0,2,2
58,Canavieiras,0,0,68,128
59,Candeal,0,0,2,16
60,Candeias,0,1,23,42
61,Cândido Sales,0,0,32,36
62,Cansanção,0,4,918,1460
63,Canudos,0,0,147,284
64,Capela do Alto Alegre,0,0,2,20
65,Capim Grosso,0,2,160,288
66,Caravelas,0,0,46,61
67,Cardeal da Silva,0,0,138,222
68,Carinhanha,0,0,8,22
69,Casa Nova,0,0,21,53
70,Castro Alves,0,0,134,160
71,Catu,0,0,0,13
72,Caturama,0,0,0,4
