,Codigo,Município,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,290010,Abaíra,1,1,159,1,3,1,4,3,2,2,1
1,290020,Abaré,4,4,-,4,22,27,6,-,226,321,2
2,290030,Acajutiba,28,16,8,8,44,-,-,-,47,45,3
3,290035,Adustina,119,331,64,109,34,71,8,21,96,40,9
4,290040,Água Fria,14,21,34,-,12,3,1,4,95,106,1
5,290060,Aiquara,15,11,83,1,1,16,4,-,3,16,9
6,290070,Alagoinhas,154,59,48,85,51,25,23,19,582,1275,92
7,290080,Alcobaça,27,53,-,76,170,320,9,5,61,45,3
8,290090,Almadina,2,10,5,2,2,55,-,-,1,50,-
9,290100,Amargosa,29,26,707,70,73,46,5,2,29,1474,4
10,290110,Amélia Rodrigues,24,108,23,9,83,6,2,1,338,44,1
11,290115,América Dourada,89,48,268,19,29,221,11,22,201,78,43
12,290120,Anagé,8,94,49,1,1,40,-,-,10,26,2
13,290130,Andaraí,27,76,114,66,48,43,1,8,25,120,2
14,290135,Andorinha,12,82,20,32,322,73,5,1,58,59,5
15,290140,Angical,84,12,89,4,8,24,3,17,43,25,486
16,290150,Anguera,33,102,8,15,83,14,3,9,63,106,-
17,290160,Antas,20,71,13,6,320,355,1,-,7,44,2
18,290170,Antônio Cardoso,51,12,18,5,79,2,3,4,72,47,13
19,290180,Antônio Gonçalves,30,107,30,20,11,65,2,7,10,113,1
20,290190,Aporá,8,16,14,-,17,1,-,-,14,17,-
21,290195,Apuarema,77,17,12,8,13,14,3,7,7,68,4
22,290205,Araças,52,22,7,2,5,-,-,-,13,13,-
23,290200,Aracatu,9,56,18,1,3,22,2,-,5,56,5
24,290210,Araci,47,41,45,64,1240,25,13,3,355,373,53
25,290220,Aramari,-,2,1,-,-,-,-,-,70,2,-
26,290225,Arataca,8,45,14,8,14,44,3,-,1,2,-
27,290230,Aratuípe,-,4,1,1,4,1,-,1,4,2,-
28,290240,Aurelino Leal,2,7,6,9,15,27,4,-,-,21,5
29,290250,Baianópolis,37,-,19,1,-,1,3,-,32,17,68
30,290260,Baixa Grande,320,210,100,86,218,73,85,-,3,352,-
31,290265,Banzaê,17,168,87,16,85,67,4,3,40,1,-
32,290270,Barra,98,15,173,52,1069,61,16,203,47,41,94
33,290280,Barra da Estiva,7,16,2,489,47,53,1,-,5,37,4
34,290290,Barra do Choça,19,34,122,13,92,13,6,3,21,37,13
35,290300,Barra do Mendes,207,28,350,33,33,15,6,-,372,111,221
36,290310,Barra do Rocha,14,15,51,-,8,15,19,2,10,456,7
37,290320,Barreiras,3560,406,2400,165,1044,772,331,435,2808,888,6642
38,290323,Barro Alto,6,1,186,-,21,6,1,-,34,127,28
39,290330,Barro Preto,4,80,47,47,36,309,18,1,-,56,4
40,290327,Barrocas,69,105,12,9,20,2,1,1,122,459,3
41,290340,Belmonte,6,20,35,6,183,444,62,253,40,11,5
42,290350,Belo Campo,34,577,25,3,15,95,30,-,-,24,2
43,290360,Biritinga,17,52,6,6,36,-,1,-,92,454,1
44,290370,Boa Nova,104,8,329,4,69,31,3,-,6,206,5
45,290380,Boa Vista do Tupim,58,11,59,3,21,165,5,3,20,118,1
46,290390,Bom Jesus da Lapa,749,32,1170,46,614,130,33,1131,109,274,594
47,290395,Bom Jesus da Serra,2,33,11,1,-,4,-,-,9,27,1
