,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+
0,Abaíra,0,0,0,0,0,0,1,0,0,0
1,Abaré,0,0,0,0,1,2,1,0,0,0
2,Acajutiba,2,1,1,3,4,10,6,1,0,0
3,Adustina,7,10,18,11,12,37,15,7,2,0
4,Água Fria,0,1,1,1,4,3,1,2,1,0
5,Aiquara,1,2,1,0,1,2,7,0,1,0
6,Alagoinhas,0,5,12,15,15,53,31,16,7,0
7,Alcobaça,1,3,2,1,2,10,2,3,2,1
8,Almadina,0,0,0,1,0,1,0,0,0,0
9,Amargosa,2,0,3,0,8,8,5,2,1,0
10,Amélia Rodrigues,1,4,6,4,3,4,2,0,0,0
11,América Dourada,1,5,9,15,13,12,14,20,0,0
12,Anagé,0,0,1,0,1,1,4,0,1,0
13,Andaraí,4,1,1,2,2,10,3,4,0,0
14,Andorinha,1,0,2,0,1,3,3,1,1,0
15,Angical,4,4,5,5,6,17,17,14,11,0
16,Anguera,1,3,0,4,3,13,7,1,1,0
17,Antas,2,0,4,5,2,3,1,3,0,0
18,Antônio Cardoso,1,1,3,2,5,28,7,2,1,1
19,Antônio Gonçalves,1,2,6,4,4,7,4,2,0,0
20,Aporá,0,0,1,0,3,2,1,0,1,0
21,Apuarema,0,7,7,5,6,27,12,11,1,1
22,Araças,0,2,5,5,9,19,6,5,1,0
23,Aracatu,0,0,2,0,0,1,0,2,3,1
24,Araci,0,4,1,4,8,11,12,4,3,0
25,Arataca,0,0,0,1,2,5,0,0,0,0
26,Aurelino Leal,0,0,0,0,1,1,0,0,0,0
27,Baianópolis,1,0,0,0,3,20,4,5,3,1
28,Baixa Grande,3,28,27,34,48,68,65,31,13,3
29,Banzaê,1,0,1,1,4,3,3,4,0,0
30,Barra,0,0,0,10,6,31,18,15,17,1
31,Barra da Estiva,0,0,0,0,1,3,1,2,0,0
32,Barra do Choça,0,0,1,1,3,10,3,1,0,0
33,Barra do Mendes,1,6,4,24,22,59,46,29,13,3
34,Barra do Rocha,1,0,0,0,1,4,3,0,5,0
35,Barreiras,34,196,308,279,457,1286,622,279,84,13
36,Barro Alto,0,0,0,0,2,0,3,1,0,0
37,Barro Preto,0,1,0,0,0,2,0,1,0,0
38,Barrocas,4,1,7,9,11,23,8,4,2,0
39,Belmonte,0,0,0,0,1,2,3,0,0,0
40,Belo Campo,1,0,6,6,2,11,5,3,0,0
41,Biritinga,2,3,1,2,1,5,2,1,0,0
42,Boa Nova,1,4,5,8,11,36,16,12,11,0
43,Boa Vista do Tupim,1,2,8,7,8,13,14,3,2,0
44,Bom Jesus da Lapa,5,15,36,68,80,261,171,92,19,2
45,Bom Jesus da Serra,0,0,1,1,0,0,0,0,0,0
46,Boninal,0,0,0,1,0,4,1,1,0,0
