,Município,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
0,Abaíra,0,0,0,1,0,0,0,0,0,0,0,0
1,Abaré,0,0,0,0,2,2,0,0,0,0,0,0
2,Acajutiba,0,0,0,0,0,1,3,0,3,1,0,0
3,Adustina,2,2,1,2,0,0,1,1,21,45,25,9
4,Aiquara,1,0,0,0,0,0,0,0,0,0,0,0
5,Alagoinhas,1,1,5,12,12,22,15,4,5,2,4,2
6,Alcobaça,0,0,12,8,13,7,6,11,7,7,3,2
7,Almadina,0,0,0,0,0,1,0,0,0,0,0,1
8,Amargosa,1,0,11,25,15,5,2,1,1,6,3,0
9,Amélia Rodrigues,0,0,1,2,1,3,0,0,0,0,1,1
10,América Dourada,3,3,0,5,5,1,0,0,0,1,1,0
11,Anagé,0,0,0,0,0,0,0,0,0,1,0,0
12,Andaraí,1,3,1,7,41,10,1,0,0,1,1,0
13,Andorinha,1,1,1,3,4,8,7,3,3,0,0,1
14,Angical,0,0,2,0,0,2,0,0,0,0,0,0
15,Anguera,1,0,1,0,0,0,1,0,0,5,4,3
16,Antas,0,0,0,2,0,1,2,0,0,1,0,0
17,Antônio Cardoso,0,0,0,4,0,0,0,0,1,0,0,0
18,Antônio Gonçalves,1,1,0,0,2,0,0,7,3,3,0,3
19,Apuarema,1,0,3,0,1,1,2,0,0,0,0,0
20,Araças,0,0,0,0,0,2,0,0,0,0,0,0
21,Aracatu,1,0,0,0,0,0,0,0,0,0,0,0
22,Araci,2,6,6,4,18,5,4,1,4,8,6,0
23,Arataca,0,2,0,0,2,3,0,0,0,0,0,1
24,Aratuípe,0,0,0,0,0,0,1,0,0,0,0,0
25,Aurelino Leal,3,1,1,1,2,0,0,0,1,0,0,0
26,Baianópolis,0,0,0,1,0,0,0,0,0,0,0,0
27,Baixa Grande,2,4,25,25,9,1,0,3,7,8,0,2
28,Banzaê,1,1,3,7,0,1,3,0,0,0,0,0
29,Barra,1,1,1,3,7,2,6,5,13,9,2,2
30,Barra da Estiva,0,0,0,20,266,173,26,3,1,0,0,0
31,Barra do Choça,0,0,0,5,4,0,1,2,0,0,0,1
32,Barra do Mendes,5,0,6,4,16,0,0,2,0,0,0,0
33,Barreiras,23,23,38,32,22,9,6,6,4,1,1,0
34,Barro Preto,4,37,4,1,0,1,0,0,0,0,0,0
35,Barrocas,0,5,3,0,0,0,0,0,0,0,1,0
36,Belmonte,0,0,0,1,0,2,1,0,1,1,0,0
37,Belo Campo,0,1,2,0,0,0,0,0,0,0,0,0
38,Biritinga,0,0,0,1,4,1,0,0,0,0,0,0
39,Boa Nova,0,0,0,0,2,0,0,0,0,0,2,0
40,Boa Vista do Tupim,0,1,0,0,1,0,1,0,0,0,0,0
41,Bom Jesus da Lapa,2,8,6,9,7,2,1,2,1,0,2,6
42,Bom Jesus da Serra,0,0,0,0,0,1,0,0,0,0,0,0
43,Bonito,0,1,0,1,0,0,0,1,0,1,2,0
44,Boquira,2,0,2,3,3,2,2,1,0,0,0,0
45,Botuporã,11,0,1,2,0,0,0,0,0,0,0,0
46,Brejões,0,2,0,1,3,0,1,2,1,2,0,0
47,Brotas de Macaúbas,0,0,1,1,2,0,0,0,0,0,0,0
48,Brumado,3,0,12,2,8,2,3,1,4,6,8,2
49,Buerarema,1,1,3,13,5,2,0,1,1,0,1,1
50,Buritirama,0,0,0,8,10,0,22,2,2,5,4,0
51,Caatiba,2,1,1,0,0,0,0,0,1,0,0,0
52,Cabaceiras do Paraguaçu,0,1,0,3,3,1,5,6,1,2,1,0
53,Cachoeira,2,2,2,9,4,3,3,0,0,0,0,0
54,Caculé,0,0,3,0,0,0,0,0,0,0,1,0
55,Caém,1,0,1,0,1,1,0,0,0,0,0,0
56,Caetanos,0,1,0,0,0,0,0,0,0,0,0,0
57,Caetité,2,3,3,6,2,2,1,1,0,2,1,0
58,Cafarnaum,0,1,1,4,1,0,0,0,0,0,1,0
59,Cairu,0,0,1,0,2,0,1,0,0,0,0,0
60,Caldeirão Grande,0,0,0,0,6,3,0,1,0,2,0,0
61,Camaçari,14,6,12,45,45,26,18,18,14,9,17,6
62,Campo Alegre de Lourdes,0,0,1,0,2,2,0,2,0,0,0,0
63,Campo Formoso,0,0,4,1,6,4,3,3,1,0,1,0
64,Canápolis,0,0,0,1,0,0,0,0,2,0,0,0
65,Canarana,5,2,0,4,0,0,0,0,0,0,0,0
66,Canavieiras,0,0,0,0,1,0,0,0,0,0,1,0
67,Candeal,0,1,1,0,0,0,0,0,0,0,0,0
68,Candeias,3,4,6,2,4,7,5,2,1,2,2,0
69,Cândido Sales,10,14,25,37,17,5,2,0,0,1,0,0
70,Cansanção,1,2,0,0,0,0,0,1,0,0,0,0
71,Canudos,0,2,2,2,6,3,2,1,0,0,0,1
72,Capela do Alto Alegre,0,0,1,3,0,0,0,0,0,3,0,0
73,Capim Grosso,0,0,3,3,1,0,0,1,3,2,0,0
74,Caraíbas,0,0,0,1,0,0,0,0,0,0,0,0
75,Caravelas,0,2,1,7,7,4,2,2,3,0,0,0
76,Cardeal da Silva,0,0,0,1,2,0,0,0,0,0,0,0
77,Carinhanha,0,2,3,18,43,5,1,0,0,0,1,0
78,Casa Nova,0,1,21,138,146,57,10,8,3,6,0,2
79,Castro Alves,0,2,1,2,4,0,0,0,0,0,1,3
80,Catolândia,0,0,2,1,1,1,1,0,0,0,1,0
81,Catu,0,3,1,7,2,4,6,1,1,7,1,0
82,Central,0,0,0,0,1,0,0,0,0,0,0,0
83,Chorrochó,0,0,0,0,0,1,1,11,12,0,0,0
84,Cícero Dantas,0,2,1,3,0,0,0,4,18,9,1,7
85,Coaraci,1,5,8,12,11,5,4,2,0,0,0,0
86,Cocos,0,1,0,0,0,0,0,0,0,0,0,0
87,Conceição da Feira,0,1,2,17,10,1,2,1,0,2,1,0
88,Conceição do Almeida,0,3,0,1,2,5,3,1,0,1,0,0
89,Conceição do Coité,4,0,4,3,0,1,1,1,0,6,3,0
90,Conceição do Jacuípe,12,26,25,53,39,8,3,2,3,10,2,17
91,Conde,0,0,1,0,0,0,0,1,0,0,1,0
92,Condeúba,0,3,7,4,1,1,2,2,0,1,4,1
93,Contendas do Sincorá,0,0,0,0,1,0,0,0,0,0,0,0
94,Coração de Maria,5,13,20,26,31,6,3,0,0,1,2,0
95,Coribe,0,0,0,0,4,4,1,0,1,0,0,0
96,Coronel João Sá,0,1,0,0,2,11,0,0,1,1,0,0
97,Correntina,0,12,3,11,24,45,5,2,1,2,0,1
98,Crisópolis,0,1,0,3,31,37,13,5,1,3,0,0
99,Cristópolis,0,0,0,1,0,0,0,0,0,1,3,1
100,Cruz das Almas,9,9,9,45,42,7,12,4,0,2,2,0
101,Curaçá,0,0,1,3,5,4,4,2,4,0,0,0
102,Dário Meira,2,1,0,1,0,0,0,0,0,0,0,0
103,Dias d'Ávila,2,1,2,7,6,7,2,1,1,1,2,0
104,Dom Basílio,0,0,0,1,1,0,1,0,4,0,0,0
105,Dom Macedo Costa,1,0,0,1,0,0,0,0,0,0,0,0
106,Elísio Medrado,0,0,0,0,0,0,0,0,1,0,0,0
107,Encruzilhada,0,0,0,0,0,0,1,1,0,0,0,0
108,Entre Rios,0,0,0,0,1,0,0,0,0,0,0,0
109,Esplanada,0,1,0,0,1,1,0,0,0,0,0,3
110,Euclides da Cunha,0,0,12,78,53,0,0,0,1,0,0,2
111,Eunápolis,5,8,2,9,10,2,5,0,6,7,2,0
112,Fátima,0,1,2,2,0,0,1,0,10,0,33,34
113,Feira da Mata,2,0,0,0,4,3,7,0,0,0,0,0
114,Feira de Santana,139,210,125,128,143,107,173,248,369,113,103,70
115,Filadélfia,0,0,0,19,6,0,1,0,0,4,4,1
116,Floresta Azul,0,1,0,1,0,2,0,0,0,1,0,0
117,Formosa do Rio Preto,0,0,0,0,3,0,0,0,0,0,1,0
118,Gandu,2,0,2,1,1,0,1,0,0,2,2,0
119,Glória,0,2,1,2,1,1,0,0,1,0,5,3
120,Gongogi,1,0,0,0,0,1,0,0,0,0,0,0
121,Governador Mangabeira,0,0,0,0,0,1,0,0,1,1,1,0
122,Guajeru,0,0,0,0,0,0,1,0,0,0,0,0
123,Guanambi,10,10,7,20,9,2,1,0,1,1,1,9
124,Guaratinga,0,0,0,0,0,0,1,1,0,1,0,0
125,Heliópolis,0,0,0,0,0,1,0,0,2,0,1,0
126,Iaçu,0,1,1,2,1,0,0,0,0,0,0,0
127,Ibiassucê,0,0,0,1,1,0,0,0,0,0,0,0
128,Ibicaraí,1,2,1,8,2,2,3,1,0,0,4,2
129,Ibicoara,0,0,0,0,0,1,0,0,0,1,0,0
