,Codigo,Município,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,290030,Acajutiba,0,0,0,0,0,0,0,0,0,1,0
1,290070,Alagoinhas,0,0,0,0,0,0,0,0,0,2,2
2,290090,Almadina,0,0,0,0,1,0,0,0,0,0,0
3,290100,Amargosa,0,0,1,0,0,0,0,0,1,0,0
4,290110,Amélia Rodrigues,0,0,0,0,1,0,0,0,0,0,0
5,290130,Andaraí,1,0,0,0,0,0,0,0,0,0,0
6,290140,Angical,0,0,0,0,0,0,0,0,0,0,2
7,290150,Anguera,0,0,0,0,0,0,0,0,2,0,0
8,290170,Antônio Cardoso,1,0,0,0,0,0,0,0,1,0,0
9,290210,Araci,0,0,0,0,3,0,0,0,0,1,2
10,290250,Baianópolis,0,0,0,1,0,0,0,0,0,0,0
11,290260,Baixa Grande,0,1,0,0,1,0,0,0,0,0,0
12,290265,Banzaê,1,0,0,0,0,0,0,0,0,0,0
13,290270,Barra,0,0,0,1,0,0,0,0,0,0,0
14,290320,Barreiras,3,0,2,0,3,0,0,0,1,1,0
15,290330,Barro Preto,0,0,0,0,0,0,0,0,0,0,1
16,290327,Barrocas,0,0,0,0,0,0,0,0,1,0,0
17,290360,Biritinga,0,0,0,0,0,0,0,0,0,1,0
18,290390,Bom Jesus da Lapa,2,0,1,0,0,0,0,1,0,1,0
19,290395,Bom Jesus da Serra,0,0,0,0,0,0,0,0,1,0,0
20,290420,Botuporã,0,0,0,0,0,0,1,0,0,0,0
21,290460,Brumado,1,0,3,4,1,0,1,0,1,1,0
22,290470,Buerarema,0,0,0,0,0,1,1,0,0,0,0
23,290500,Caculé,0,0,0,0,0,0,0,0,0,1,0
24,290520,Caetité,1,0,1,0,0,0,0,0,0,0,0
25,290530,Cafarnaum,0,0,0,0,0,0,0,0,1,0,0
26,290560,Camacan,0,1,0,0,0,0,0,0,0,0,0
27,290570,Camaçari,1,4,1,1,1,0,1,1,3,2,0
28,290600,Campo Formoso,0,0,0,0,0,0,0,0,0,1,0
29,290610,Canápolis,0,0,0,0,0,0,0,1,0,0,0
30,290620,Canarana,0,0,1,0,0,0,0,0,0,0,1
31,290630,Canavieiras,0,1,1,0,0,1,0,0,0,0,0
32,290650,Candeias,0,1,0,0,1,1,0,0,7,10,1
