,Município,Em Branco,Ignorado,Masculino,Feminino
0,Abaíra,0,0,0,1
1,Abaré,0,0,0,4
2,Acajutiba,0,0,1,7
3,Adustina,0,0,25,84
4,Aiquara,0,0,1,0
5,Alagoinhas,0,0,28,57
6,Alcobaça,0,0,32,44
7,Almadina,0,0,1,1
8,Amargosa,0,0,27,43
9,Amélia Rodrigues,0,0,6,3
10,América Dourada,0,0,12,7
11,Anagé,0,0,0,1
12,Andaraí,0,0,29,37
13,Andorinha,0,0,17,15
14,Angical,0,0,2,2
15,Anguera,0,0,4,11
16,Antas,0,0,3,3
17,Antônio Cardoso,0,0,3,2
18,Antônio Gonçalves,0,0,11,9
19,Apuarema,0,0,5,3
20,Araças,0,0,0,2
21,Aracatu,0,0,1,0
22,Araci,0,0,27,37
23,Arataca,0,0,5,3
24,Aratuípe,0,0,1,0
25,Aurelino Leal,0,0,4,5
26,Baianópolis,0,0,1,0
27,Baixa Grande,0,0,31,55
28,Banzaê,0,0,8,8
29,Barra,0,0,26,26
30,Barra da Estiva,0,0,186,303
31,Barra do Choça,0,0,5,8
32,Barra do Mendes,0,0,12,21
33,Barreiras,0,0,71,94
34,Barro Preto,0,0,25,22
35,Barrocas,0,0,7,2
36,Belmonte,0,0,2,4
37,Belo Campo,0,0,0,3
38,Biritinga,0,0,2,4
39,Boa Nova,0,0,2,2
40,Boa Vista do Tupim,0,0,1,2
41,Bom Jesus da Lapa,0,0,27,19
42,Bom Jesus da Serra,0,0,1,0
43,Bonito,0,0,2,4
44,Boquira,0,0,5,10
45,Botuporã,0,0,8,6
46,Brejões,0,0,5,7
47,Brotas de Macaúbas,0,0,2,2
48,Brumado,0,0,26,25
49,Buerarema,0,0,16,13
50,Buritirama,0,0,22,31
51,Caatiba,0,0,2,3
52,Cabaceiras do Paraguaçu,0,0,8,15
53,Cachoeira,0,0,11,14
54,Caculé,0,0,1,3
55,Caém,0,0,1,3
56,Caetanos,0,0,1,0
57,Caetité,0,0,8,15
58,Cafarnaum,0,0,3,5
59,Cairu,0,0,1,3
60,Caldeirão Grande,0,0,5,7
61,Camaçari,0,1,95,134
62,Campo Alegre de Lourdes,0,0,2,5
63,Campo Formoso,0,0,15,8
64,Canápolis,0,0,2,1
65,Canarana,0,0,2,9
66,Canavieiras,0,0,1,1
67,Candeal,0,0,0,2
68,Candeias,0,0,14,24
69,Cândido Sales,0,0,37,74
70,Cansanção,0,0,3,1
71,Canudos,0,0,9,10
72,Capela do Alto Alegre,0,0,4,3
73,Capim Grosso,0,0,5,8
74,Caraíbas,0,0,0,1
75,Caravelas,0,0,11,17
76,Cardeal da Silva,0,0,0,3
77,Carinhanha,0,0,40,33
78,Casa Nova,0,1,145,246
79,Castro Alves,0,0,5,8
80,Catolândia,0,0,5,2
81,Catu,0,0,15,18
82,Central,0,0,0,1
83,Chorrochó,0,0,5,20
84,Cícero Dantas,0,0,15,30
85,Coaraci,0,0,18,30
86,Cocos,0,0,1,0
87,Conceição da Feira,0,0,16,21
88,Conceição do Almeida,0,0,9,7
89,Conceição do Coité,0,0,8,15
90,Conceição do Jacuípe,0,0,72,128
91,Conde,0,0,2,1
92,Condeúba,0,0,10,16
93,Contendas do Sincorá,0,0,1,0
94,Coração de Maria,0,0,31,76
95,Coribe,0,0,3,7
96,Coronel João Sá,0,0,5,11
97,Correntina,0,0,40,66
98,Crisópolis,0,1,42,51
99,Cristópolis,0,0,2,4
100,Cruz das Almas,0,0,53,88
101,Curaçá,0,0,11,12
102,Dário Meira,0,0,1,3
103,Dias d'Ávila,0,0,19,13
104,Dom Basílio,0,0,3,4
105,Dom Macedo Costa,0,0,1,1
106,Elísio Medrado,0,0,1,0
107,Encruzilhada,0,0,2,0
108,Entre Rios,0,0,0,1
109,Esplanada,0,0,2,4
110,Euclides da Cunha,0,0,56,90
111,Eunápolis,0,0,34,22
112,Fátima,0,0,23,60
113,Feira da Mata,0,0,4,12
114,Feira de Santana,0,0,882,1046
115,Filadélfia,1,0,16,18
116,Floresta Azul,0,0,0,5
117,Formosa do Rio Preto,0,0,4,0
118,Gandu,0,0,9,2
119,Glória,0,0,6,10
120,Gongogi,0,0,2,0
121,Governador Mangabeira,0,0,0,4
122,Guajeru,0,0,1,0
123,Guanambi,0,0,32,39
124,Guaratinga,0,0,2,1
125,Heliópolis,0,0,2,2
126,Iaçu,0,0,2,3
127,Ibiassucê,0,0,2,0
128,Ibicaraí,0,0,10,16
129,Ibicoara,0,0,1,1
130,Ibipitanga,0,0,3,1
131,Ibiquera,0,0,1,0
132,Ibirapitanga,0,0,0,2
133,Ibirataia,0,0,31,38
134,Ibitiara,0,0,8,11
135,Ibititá,0,0,5,6
136,Ibotirama,0,0,12,9
137,Ichu,0,0,17,32
138,Igaporã,0,0,9,4
139,Igrapiúna,0,0,0,1
140,Ilhéus,0,0,343,362
141,Inhambupe,0,0,4,4
142,Ipecaetá,0,0,0,2
143,Ipiaú,0,0,15,32
144,Ipirá,0,1,8,11
145,Ipupiara,0,0,0,2
146,Iramaia,0,0,5,9
147,Iraquara,0,0,0,1
148,Irará,0,0,12,23
149,Irecê,0,0,9,14
150,Itabela,0,0,23,25
151,Itaberaba,0,0,58,83
152,Itabuna,0,0,577,755
153,Itacaré,0,0,4,1
154,Itaeté,0,0,4,4
155,Itagi,0,0,16,11
156,Itagibá,0,0,9,12
157,Itaguaçu da Bahia,0,0,1,0
158,Itaju do Colônia,0,0,1,0
159,Itajuípe,0,0,17,30
160,Itamaraju,0,0,17,29
161,Itanhém,0,0,9,16
162,Itaparica,0,0,8,9
163,Itapé,0,0,3,10
164,Itapebi,0,0,9,15
165,Itapetinga,0,0,6,7
166,Itapicuru,0,0,4,5
167,Itapitanga,0,0,1,0
168,Itaquara,0,0,1,0
169,Itarantim,0,0,1,1
170,Itatim,0,0,5,7
171,Itiruçu,0,0,4,8
172,Itiúba,0,0,3,6
173,Itororó,0,0,0,2
174,Ituaçu,0,0,77,94
175,Ituberá,0,0,3,0
176,Iuiú,0,0,1,0
177,Jaborandi,0,0,4,6
178,Jacaraci,0,0,2,0
179,Jacobina,0,0,43,55
180,Jaguaquara,0,0,5,1
181,Jaguarari,0,0,23,18
182,Jaguaripe,0,0,10,10
183,Jandaíra,0,0,4,3
184,Jequié,0,1,154,182
185,Jeremoabo,0,0,2,2
186,Jiquiriçá,0,0,1,6
187,Jitaúna,0,0,1,2
188,João Dourado,0,0,1,0
189,Juazeiro,0,0,315,443
190,Jucuruçu,0,0,3,1
191,Jussara,0,0,4,4
192,Jussari,0,0,5,10
193,Jussiape,0,0,1,0
194,Lafaiete Coutinho,0,0,3,0
195,Lagoa Real,0,0,2,2
196,Laje,0,0,2,1
197,Lajedão,0,0,9,11
198,Lajedinho,0,0,1,4
199,Lamarão,0,0,4,3
200,Lapão,0,0,5,4
201,Lauro de Freitas,0,2,111,130
202,Lençóis,0,0,0,1
203,Livramento de Nossa Senhora,0,0,11,10
204,Luís Eduardo Magalhães,0,0,86,122
205,Macajuba,0,0,2,0
206,Macarani,0,0,2,3
207,Macaúbas,0,0,50,60
208,Madre de Deus,0,0,7,4
209,Maiquinique,0,0,0,2
210,Mairi,0,0,28,30
211,Manoel Vitorino,0,0,0,5
212,Maracás,0,0,5,20
213,Maragogipe,0,0,15,15
214,Maraú,0,0,1,4
215,Marcionílio Souza,0,0,1,0
216,Mascote,0,0,0,3
217,Mata de São João,0,0,15,16
218,Matina,0,0,10,7
