,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+
0,Abaíra,0,0,0,0,0,0,0,1,0,0
1,Abaré,0,0,0,0,1,1,0,0,0,0
2,Acajutiba,0,0,0,0,0,3,0,0,0,0
3,Adustina,0,0,0,0,1,4,2,2,0,0
4,Água Fria,1,0,0,0,0,0,0,0,0,0
5,Aiquara,0,0,0,2,0,2,1,4,0,0
6,Alagoinhas,2,1,1,7,8,32,23,14,3,0
7,Alcobaça,1,0,1,0,0,0,1,0,0,0
8,Amargosa,0,1,0,0,0,2,0,0,0,1
9,Amélia Rodrigues,1,0,0,0,0,0,0,0,0,0
10,América Dourada,0,0,2,4,4,12,10,5,6,0
11,Anagé,0,1,0,0,0,0,1,0,0,0
12,Andaraí,0,0,0,1,0,1,0,0,0,0
13,Andorinha,0,0,2,0,0,2,0,1,0,0
14,Angical,10,5,28,37,36,127,120,75,36,12
15,Antas,1,0,0,0,1,0,0,0,0,0
16,Antônio Cardoso,0,0,0,0,1,4,2,4,1,1
17,Antônio Gonçalves,0,0,0,0,0,0,1,0,0,0
18,Apuarema,0,0,1,0,0,2,1,0,0,0
19,Aracatu,0,0,1,0,0,1,1,1,1,0
20,Araci,2,4,2,5,5,13,15,1,3,0
21,Aurelino Leal,1,1,0,0,0,0,1,1,1,0
22,Baianópolis,5,3,5,7,7,11,20,5,5,0
23,Barra,1,1,6,3,5,26,30,16,6,0
24,Barra da Estiva,0,0,0,1,0,0,1,1,1,0
25,Barra do Choça,1,1,0,0,1,5,2,2,1,0
26,Barra do Mendes,2,9,11,19,17,52,55,36,18,2
27,Barra do Rocha,0,0,0,0,2,2,2,1,0,0
28,Barreiras,106,210,426,525,496,0,0,809,291,73
29,Barro Alto,2,0,2,0,6,6,4,3,4,1
30,Barro Preto,1,0,0,0,0,1,1,0,1,0
31,Barrocas,1,0,0,0,0,0,0,2,0,0
32,Belmonte,0,0,0,0,0,2,2,1,0,0
33,Belo Campo,0,0,0,1,0,0,1,0,0,0
34,Biritinga,0,0,0,0,0,1,0,0,0,0
35,Boa Nova,0,0,0,1,1,2,1,0,0,0
36,Boa Vista do Tupim,0,0,1,0,0,0,0,0,0,0
37,Bom Jesus da Lapa,7,22,45,38,53,169,157,81,19,2
38,Bom Jesus da Serra,0,0,0,0,0,0,1,0,0,0
39,Bonito,1,0,0,0,0,0,3,0,0,0
40,Boquira,1,0,2,1,0,9,3,1,1,0
41,Botuporã,0,2,1,6,8,22,11,4,2,0
42,Brejões,0,0,0,1,2,5,5,2,1,0
43,Brejolândia,0,0,0,0,0,1,1,1,0,0
44,Brotas de Macaúbas,9,11,12,28,21,62,81,51,42,8
45,Brumado,1,4,3,3,6,13,14,9,2,1
46,Buerarema,1,2,1,1,1,2,2,2,1,0
47,Buritirama,0,0,1,0,2,2,4,1,1,0
48,Caatiba,0,0,0,0,0,2,2,0,0,0
49,Cachoeira,0,0,0,0,0,0,1,1,0,0
50,Caculé,1,0,0,2,0,0,0,0,0,0
51,Caém,0,0,0,0,2,1,2,0,0,0
52,Caetanos,3,2,0,0,0,1,3,0,0,0
53,Caetité,1,1,0,1,0,4,3,2,0,0
54,Cafarnaum,4,4,9,7,5,27,19,6,2,1
55,Cairu,0,0,0,0,0,0,1,0,0,0
56,Camacan,0,0,0,0,1,2,5,0,0,0
57,Camaçari,5,10,9,10,21,79,65,20,3,1
58,Camamu,1,0,1,0,0,0,1,1,0,0
59,Campo Alegre de Lourdes,0,0,1,0,0,4,3,3,1,0
60,Campo Formoso,3,4,2,0,0,2,3,1,0,0
61,Canápolis,4,0,6,4,9,18,25,9,2,0
62,Canarana,2,4,17,12,18,53,41,26,7,2
63,Canavieiras,0,2,3,3,2,8,7,5,0,0
64,Candeal,0,1,0,0,0,2,1,0,0,0
65,Candeias,1,1,3,6,6,16,15,2,2,0
66,Candiba,1,1,0,0,1,3,3,2,0,1
67,Cândido Sales,0,5,1,2,2,5,2,2,0,0
68,Cansanção,0,1,0,0,0,2,1,0,0,0
69,Capela do Alto Alegre,0,0,0,0,0,1,0,1,0,0
70,Capim Grosso,0,0,0,0,0,1,0,0,0,0
71,Caraíbas,0,1,1,0,2,4,3,0,0,0
72,Caravelas,3,6,4,3,3,8,4,3,0,0
73,Carinhanha,2,13,29,30,31,61,79,32,14,2
74,Casa Nova,1,0,0,1,0,5,3,1,0,0
75,Castro Alves,0,0,0,1,0,1,0,0,0,0
76,Catolândia,0,2,4,1,4,8,22,6,2,0
77,Catu,0,1,1,0,6,5,5,3,0,0
78,Caturama,0,1,0,1,2,5,1,2,0,0
79,Central,1,0,1,3,0,2,2,0,0,0
80,Cícero Dantas,0,0,0,1,2,1,2,0,0,0
81,Coaraci,4,7,16,17,24,78,56,50,25,5
82,Cocos,1,2,5,4,2,16,8,5,2,1
83,Conceição da Feira,0,1,1,0,0,1,2,0,0,0
84,Conceição do Almeida,0,0,0,0,0,1,4,0,0,0
85,Conceição do Coité,3,2,1,1,0,3,2,0,2,0
86,Conceição do Jacuípe,1,1,0,0,1,6,1,0,0,0
87,Conde,0,0,0,0,1,0,0,1,2,0
88,Condeúba,0,1,0,0,1,1,0,1,2,0
89,Contendas do Sincorá,0,0,0,1,2,1,0,1,0,0
90,Coração de Maria,0,0,0,0,0,0,2,1,0,0
91,Cordeiros,0,0,0,0,0,0,1,1,1,0
92,Coribe,8,2,13,8,18,53,33,20,10,2
93,Coronel João Sá,0,2,1,0,4,7,6,4,3,0
94,Correntina,10,18,20,35,43,152,156,91,22,9
95,Cotegipe,5,9,13,4,15,50,35,34,11,1
96,Cristópolis,1,0,7,3,3,13,20,11,6,1
97,Cruz das Almas,0,0,3,0,0,1,6,0,2,0
98,Curaçá,0,0,0,0,0,4,2,2,0,0
99,Dário Meira,4,4,10,8,5,30,30,22,9,5
100,Dias d'Ávila,2,1,1,0,0,7,8,5,1,0
101,Dom Basílio,0,0,0,0,1,5,3,1,0,0
102,Elísio Medrado,0,1,0,0,0,2,0,0,0,0
103,Encruzilhada,0,1,0,1,0,2,1,3,0,0
104,Érico Cardoso,0,0,0,0,0,0,2,0,0,0
105,Esplanada,1,2,0,1,0,2,4,0,0,0
106,Euclides da Cunha,0,1,0,2,0,0,1,0,0,0
107,Eunápolis,0,0,0,0,4,7,1,4,1,1
108,Fátima,0,1,0,0,0,0,2,0,0,1
109,Feira da Mata,1,7,14,6,6,10,18,3,2,0
110,Feira de Santana,42,77,40,34,39,240,152,76,23,6
111,Filadélfia,0,0,0,0,0,0,1,0,0,0
112,Formosa do Rio Preto,6,25,43,61,78,207,229,133,71,8
113,Gandu,1,4,0,2,5,12,16,11,3,0
114,Gentio do Ouro,0,0,2,4,2,4,5,1,1,0
115,Glória,0,0,0,0,0,0,1,0,0,0
116,Gongogi,0,0,0,0,0,0,1,0,0,0
117,Governador Mangabeira,0,0,0,1,0,4,1,0,0,0
118,Guajeru,0,0,0,0,0,0,0,1,0,0
119,Guanambi,13,29,85,107,127,532,426,280,107,35
120,Guaratinga,0,0,0,0,0,0,1,0,0,0
121,Heliópolis,0,0,0,0,0,0,1,0,0,0
122,Iaçu,0,0,0,0,0,3,3,2,0,0
123,Ibiassucê,0,0,0,0,0,1,0,0,0,0
124,Ibicaraí,1,3,0,1,0,0,0,0,1,0
125,Ibicoara,0,0,0,1,0,2,1,2,0,0
126,Ibicuí,1,1,0,0,0,7,3,2,0,0
127,Ibipeba,1,4,3,4,3,8,12,11,4,0
128,Ibipitanga,0,0,0,2,1,7,5,5,1,0
129,Ibirapitanga,0,0,1,0,0,3,0,0,0,0
130,Ibirataia,1,0,1,0,1,5,1,3,0,0
131,Ibitiara,0,0,1,1,3,3,1,2,2,0
132,Ibititá,0,0,0,0,1,1,0,1,1,0
133,Ibotirama,9,14,24,35,31,146,177,106,55,6
134,Ichu,0,0,0,1,0,0,0,1,0,0
135,Igaporã,1,3,12,19,7,38,48,25,9,2
136,Iguaí,2,0,0,2,6,18,16,9,3,0
137,Ilhéus,5,5,8,9,12,34,32,17,3,1
138,Inhambupe,0,1,3,3,2,4,4,1,0,0
139,Ipecaetá,0,0,0,0,1,0,0,1,0,0
140,Ipiaú,0,2,5,8,16,71,44,23,6,1
141,Ipirá,1,1,0,0,0,2,1,0,0,0
142,Ipupiara,1,0,5,9,19,47,50,40,18,4
143,Iraquara,0,0,0,0,0,1,2,0,0,0
144,Irará,0,0,0,1,0,0,0,1,0,0
145,Irecê,1,12,21,19,29,79,117,74,20,4
146,Itabela,1,1,0,2,0,1,0,0,0,0
147,Itaberaba,2,6,6,6,17,71,38,6,3,0
148,Itabuna,32,68,84,85,41,126,108,82,22,1
149,Itacaré,0,1,0,0,1,2,1,0,0,0
150,Itagi,0,2,0,0,1,2,0,1,1,0
151,Itagibá,5,7,7,18,16,49,33,30,13,2
152,Itaguaçu da Bahia,4,1,0,1,2,10,7,3,5,1
153,Itajuípe,8,8,16,14,12,42,31,22,7,2
154,Itamaraju,4,3,9,11,14,48,50,39,24,5
155,Itamari,0,0,1,4,0,2,4,0,1,0
156,Itambé,0,0,1,0,1,3,4,2,1,0
157,Itanagra,0,0,0,0,0,0,0,1,0,0
158,Itanhém,1,0,0,0,0,0,0,0,0,0
159,Itaparica,0,0,0,0,0,2,2,0,0,0
160,Itapé,0,0,2,0,1,0,2,0,0,0
161,Itapebi,0,0,1,0,6,10,7,3,0,0
162,Itapetinga,2,5,4,16,17,58,63,33,18,1
163,Itapicuru,0,0,2,1,0,6,2,1,0,0
164,Itapitanga,1,0,0,1,1,0,0,0,0,0
165,Itaquara,0,0,0,0,1,0,0,0,0,0
166,Itarantim,1,0,0,0,1,1,1,0,0,0
167,Itatim,1,0,0,0,0,1,5,2,0,0
168,Itiruçu,0,3,2,3,5,15,10,11,5,6
169,Itiúba,0,0,0,0,0,1,1,0,0,0
170,Itororó,7,5,6,15,9,37,31,11,4,3
171,Ituaçu,0,0,0,0,0,1,2,1,0,0
172,Ituberá,0,0,1,0,1,3,0,1,0,0
173,Iuiú,4,10,19,16,11,36,20,19,4,2
174,Jaborandi,2,6,8,9,14,59,48,22,10,3
175,Jacaraci,0,1,0,1,0,4,4,1,1,0
176,Jacobina,24,45,62,95,101,305,268,163,89,16
177,Jaguaquara,6,6,16,18,28,65,65,48,18,2
178,Jaguarari,0,0,0,0,0,2,1,1,0,0
179,Jandaíra,0,0,1,0,0,1,0,1,1,0
180,Jequié,11,15,13,23,12,87,88,46,28,9
181,Jeremoabo,0,0,0,0,0,2,1,1,0,0
182,Jitaúna,0,0,0,0,0,0,1,0,0,0
183,João Dourado,0,3,5,6,3,9,8,4,3,2
184,Juazeiro,4,1,3,6,6,55,44,21,3,1
185,Jucuruçu,1,0,0,0,0,0,0,0,0,0
186,Jussara,0,8,4,7,13,26,32,23,17,2
187,Jussari,0,0,0,1,0,0,0,2,0,0
188,Lafaiete Coutinho,0,0,0,0,0,0,1,0,0,0
189,Lagoa Real,0,0,0,0,0,2,0,2,0,0
190,Laje,0,0,0,0,0,1,0,0,0,0
191,Lajedinho,0,0,0,0,1,0,0,0,0,0
192,Lajedo do Tabocal,0,0,0,0,0,0,1,2,0,0
193,Lapão,1,0,4,1,3,11,17,4,1,1
194,Lauro de Freitas,7,15,2,5,2,7,12,4,4,1
195,Lençóis,0,0,0,0,1,2,1,1,0,0
196,Livramento de Nossa Senhora,4,0,0,1,2,5,5,0,0,0
197,Luís Eduardo Magalhães,99,169,269,277,373,0,0,403,121,20
198,Macajuba,0,1,0,0,1,0,1,0,0,0
199,Macarani,2,2,1,8,7,16,18,12,12,3
200,Macaúbas,8,14,34,33,47,138,106,100,37,12
201,Madre de Deus,2,1,0,0,0,6,2,2,0,0
202,Maetinga,0,0,0,0,0,0,0,1,0,0
203,Maiquinique,0,0,0,0,1,3,1,1,0,0
204,Mairi,2,0,0,0,0,0,0,0,0,0
205,Malhada,8,8,7,16,21,45,28,24,7,2
206,Malhada de Pedras,0,0,0,1,0,1,1,1,0,0
207,Manoel Vitorino,1,3,1,1,0,1,0,1,1,0
208,Mansidão,5,3,17,16,24,69,53,46,17,6
209,Maracás,0,0,1,0,2,11,11,6,1,0
210,Maragogipe,0,2,1,1,0,0,5,2,0,0
211,Marcionílio Souza,0,0,1,0,0,0,0,0,0,0
212,Mata de São João,0,0,0,0,0,1,1,1,0,0
213,Matina,2,5,16,26,17,51,46,22,10,1
214,Miguel Calmon,6,9,3,9,9,17,16,11,2,0
215,Mirangaba,0,1,1,1,1,4,1,0,1,0
216,Mirante,0,0,1,0,0,1,1,1,1,0
217,Morpará,1,2,0,0,1,3,6,2,1,0
218,Morro do Chapéu,1,2,4,7,7,27,22,9,6,1
219,Mortugaba,0,0,0,0,0,1,0,1,0,0
220,Mucuri,5,22,30,28,20,79,46,15,9,0
221,Mulungu do Morro,1,0,1,0,2,3,0,1,0,0
222,Mundo Novo,0,0,0,0,1,0,0,0,0,0
223,Muquém de São Francisco,3,18,19,32,30,85,91,28,16,3
224,Muritiba,0,0,0,0,1,2,2,2,2,0
225,Mutuípe,0,0,0,0,0,1,0,0,0,0
226,Nordestina,0,0,1,0,3,4,2,0,1,0
227,Nova Canaã,6,20,29,35,53,109,109,109,71,24
228,Nova Fátima,0,0,0,1,0,1,0,0,1,0
229,Nova Ibiá,1,0,0,0,1,0,0,1,0,0
230,Nova Itarana,0,1,0,0,0,0,1,0,0,0
231,Nova Soure,0,0,0,0,0,1,3,1,0,0
232,Nova Viçosa,0,0,1,0,3,5,3,1,0,0
233,Novo Horizonte,0,0,0,0,1,2,6,1,1,0
234,Novo Triunfo,0,0,0,0,0,0,1,0,0,0
235,Oliveira dos Brejinhos,2,4,5,10,12,28,44,10,15,5
236,Ouriçangas,0,0,0,0,0,1,0,0,0,0
237,Ourolândia,10,15,30,20,39,95,88,46,19,3
238,Palmas de Monte Alto,0,1,4,4,6,11,13,6,1,0
239,Palmeiras,0,0,0,0,0,1,0,0,0,0
240,Paramirim,0,0,0,1,0,4,3,0,1,0
241,Paratinga,2,1,9,14,20,41,41,24,8,4
242,Paripiranga,0,0,0,0,0,1,0,0,0,0
243,Pau Brasil,0,1,0,0,0,0,1,1,2,0
244,Paulo Afonso,1,5,2,3,3,15,20,9,6,1
245,Pé de Serra,0,0,0,0,0,2,2,0,0,0
246,Pilão Arcado,0,0,0,1,0,1,1,1,1,0
247,Pindaí,1,3,5,4,5,17,21,14,3,1
248,Pindobaçu,0,0,0,0,0,1,1,0,0,0
249,Pintadas,0,0,0,0,0,1,1,0,0,0
250,Piripá,1,0,0,1,0,4,3,0,1,0
251,Planaltino,1,0,0,0,1,0,0,0,0,0
252,Planalto,0,1,0,0,0,4,1,6,1,0
253,Poções,2,0,1,1,3,13,13,4,3,0
254,Pojuca,7,10,16,20,32,77,90,52,25,4
255,Ponto Novo,0,0,0,0,0,2,1,0,0,0
256,Porto Seguro,2,4,4,7,9,45,23,10,1,0
257,Potiraguá,0,0,1,0,0,4,1,0,0,0
258,Prado,0,0,0,0,1,4,6,2,0,0
259,Presidente Dutra,3,0,2,3,2,12,10,6,5,1
260,Presidente Jânio Quadros,0,0,0,0,1,6,3,1,1,0
261,Presidente Tancredo Neves,0,0,0,1,0,1,0,0,0,0
262,Queimadas,0,0,1,0,0,0,0,0,1,0
263,Quijingue,0,0,1,0,0,3,1,1,0,1
264,Rafael Jambeiro,0,0,0,0,0,0,3,1,0,0
265,Remanso,0,0,0,0,0,0,3,1,0,0
266,Retirolândia,0,0,0,0,0,0,0,0,1,0
267,Riachão das Neves,4,1,8,10,7,29,24,22,11,1
268,Riachão do Jacuípe,2,2,1,0,1,5,4,0,1,0
269,Riacho de Santana,7,9,24,27,31,64,80,64,36,11
270,Ribeira do Pombal,4,3,4,1,2,5,5,1,0,1
271,Ribeirão do Largo,0,0,1,0,0,2,1,0,0,0
272,Rio de Contas,0,1,0,0,0,0,2,0,2,0
273,Rio do Antônio,0,0,0,0,0,0,1,0,0,0
274,Rio do Pires,0,3,7,9,1,24,27,26,14,4
275,Rio Real,2,4,5,0,2,23,6,13,7,1
276,Rodelas,0,0,0,2,0,2,1,0,0,0
277,Ruy Barbosa,1,7,32,28,26,105,103,87,36,9
278,Salvador,36,37,55,42,72,349,280,105,25,11
279,Santa Bárbara,0,0,0,0,0,1,0,1,0,0
280,Santa Brígida,0,0,1,1,2,3,2,1,0,0
281,Santa Cruz Cabrália,1,0,0,0,0,6,3,1,0,0
282,Santa Luzia,2,0,9,9,8,12,8,4,4,0
283,Santa Maria da Vitória,8,14,39,65,84,256,181,61,25,4
284,Santa Rita de Cássia,7,6,20,40,44,155,112,76,26,13
285,Santa Teresinha,1,0,0,0,0,2,0,0,0,0
286,Santaluz,0,2,0,2,0,2,0,1,1,0
287,Santana,4,7,9,18,19,54,51,31,13,5
288,Santanópolis,0,0,0,0,0,1,1,2,1,0
289,Santo Amaro,0,0,0,1,0,0,1,0,0,0
290,Santo Antônio de Jesus,1,2,1,1,0,7,2,5,1,0
291,Santo Estêvão,0,2,2,2,2,20,9,4,1,0
292,São Desidério,0,5,15,24,32,107,131,48,24,4
293,São Felipe,0,0,0,0,0,0,1,0,0,0
294,São Félix,0,0,0,0,0,0,1,0,0,0
295,São Félix do Coribe,1,9,6,14,26,56,53,29,15,4
296,São Francisco do Conde,1,0,1,0,1,3,2,0,0,0
297,São Gabriel,0,0,1,0,1,4,7,1,1,1
298,São Gonçalo dos Campos,2,1,0,0,0,1,2,1,0,0
299,São José da Vitória,0,0,0,0,1,6,2,0,0,0
300,São José do Jacuípe,0,0,1,0,0,0,0,0,0,0
301,São Sebastião do Passé,0,1,0,1,0,7,0,2,1,1
302,Sapeaçu,0,1,0,0,1,5,4,3,2,0
303,Saubara,0,0,0,0,0,0,0,0,2,0
304,Saúde,0,0,0,0,0,0,0,0,1,0
305,Seabra,0,2,2,2,2,10,9,3,1,0
306,Sebastião Laranjeiras,1,1,2,5,2,13,8,8,2,1
307,Senhor do Bonfim,2,1,2,0,1,8,14,2,0,0
308,Sento Sé,0,0,0,0,0,1,0,0,0,1
309,Serra do Ramalho,14,8,11,13,11,51,34,16,15,4
310,Serra Dourada,6,2,7,12,11,32,41,24,7,2
311,Serrinha,1,0,2,0,2,0,1,1,0,0
312,Serrolândia,1,0,0,0,2,2,6,1,0,0
313,Simões Filho,0,3,0,1,6,24,15,5,3,0
314,Sítio do Mato,0,0,1,0,3,11,7,9,3,0
315,Sítio do Quinto,1,0,0,0,0,0,0,0,0,0
316,Sobradinho,0,0,0,1,0,2,1,1,0,0
317,Souto Soares,1,2,2,2,4,12,10,0,1,0
318,Tabocas do Brejo Velho,0,0,0,0,0,0,1,0,0,0
319,Tanhaçu,0,0,0,0,0,0,0,1,0,0
320,Tanquinho,0,0,0,0,0,1,1,2,2,0
321,Taperoá,0,0,2,0,0,1,3,4,0,0
322,Tapiramutá,0,1,0,0,0,0,2,0,0,0
323,Teixeira de Freitas,4,3,10,7,9,59,41,32,6,0
324,Teodoro Sampaio,0,0,0,0,1,1,3,1,0,0
325,Teofilândia,0,0,0,0,0,0,0,1,0,0
326,Teolândia,0,0,0,0,2,6,2,0,0,0
327,Terra Nova,0,1,2,0,2,3,2,1,0,0
328,Tucano,0,0,0,0,1,0,2,2,0,0
329,Uauá,0,0,1,0,0,0,0,0,0,0
330,Ubaíra,0,2,2,8,3,9,2,3,3,0
331,Ubaitaba,2,0,0,1,2,4,4,2,1,0
332,Ubatã,0,0,1,0,0,2,0,0,0,0
333,Uibaí,0,1,0,0,0,1,1,2,0,0
334,Umburanas,7,7,13,15,17,47,34,27,13,5
335,Una,5,25,25,32,55,124,91,33,18,5
336,Urandi,0,0,1,1,2,8,10,1,1,0
337,Uruçuca,1,0,1,1,2,0,4,2,1,0
338,Utinga,0,0,0,0,0,1,1,1,0,0
339,Valença,2,3,2,0,0,5,4,1,1,0
340,Valente,0,1,2,2,2,5,1,0,0,0
341,Várzea da Roça,0,0,0,0,0,1,0,0,0,0
342,Várzea Nova,20,7,19,28,19,106,62,54,26,3
343,Vera Cruz,2,0,0,1,0,9,9,2,0,0
344,Vereda,0,1,0,2,1,4,0,0,2,0
345,Vitória da Conquista,29,25,23,25,34,277,221,95,30,8
346,Wagner,0,1,0,0,0,2,1,3,0,0
347,Wanderley,0,0,0,0,0,0,0,1,0,0
348,Wenceslau Guimarães,0,0,0,0,0,0,1,0,1,0
349,Xique-Xique,4,0,4,7,7,23,30,17,4,1
