,Codigo,Município,2016,2017,2018,2019,2020,2021
0,290010,Abaíra,0,1,0,0,0,0
1,290020,Abaré,6,1,0,0,3,0
2,290030,Acajutiba,0,0,0,3,2,0
3,290035,Adustina,0,2,0,3,0,0
4,290040,Água Fria,4,0,1,1,2,0
5,290060,Aiquara,51,0,0,0,0,0
6,290070,Alagoinhas,84,4,3,44,3,39
7,290080,Alcobaça,41,1,0,0,0,0
8,290090,Almadina,20,1,0,0,0,0
9,290100,Amargosa,34,0,0,0,18,0
10,290115,América Dourada,118,2,18,13,6,5
11,290120,Anagé,0,1,0,0,6,0
12,290130,Andaraí,6,2,0,0,1,0
13,290135,Andorinha,5,0,0,7,2,1
14,290140,Angical,1,0,0,0,1,2
15,290150,Anguera,12,1,3,4,3,0
16,290160,Antas,58,1,3,0,0,0
17,290170,Antônio Cardoso,3,0,0,2,0,1
18,290180,Antônio Gonçalves,93,0,1,0,1,0
19,290190,Aporá,9,0,0,0,0,0
20,290195,Apuarema,5,0,0,1,1,0
21,290200,Aracatu,3,0,0,1,1,0
22,290210,Araci,2,0,0,1,6,5
23,290220,Aramari,0,0,0,0,1,0
24,290225,Arataca,41,2,1,0,0,0
25,290230,Aratuípe,1,0,0,0,0,0
26,290240,Aurelino Leal,3,0,0,0,0,0
27,290260,Baixa Grande,13,11,2,0,0,0
28,290265,Banzaê,4,0,0,0,0,0
29,290270,Barra,18,3,8,3,0,6
30,290280,Barra da Estiva,12,1,0,0,0,0
31,290290,Barra do Choça,28,0,0,1,1,1
32,290300,Barra do Mendes,2,0,0,3,0,1
33,290310,Barra do Rocha,50,1,0,1,0,0
34,290320,Barreiras,118,227,74,50,10,21
35,290330,Barro Preto,110,3,0,0,16,0
36,290327,Barrocas,43,1,1,1,0,0
37,290340,Belmonte,40,1,28,4,0,0
38,290350,Belo Campo,8,3,0,3,1,0
39,290370,Boa Nova,28,0,0,1,4,0
40,290380,Boa Vista do Tupim,286,0,0,0,0,1
41,290390,Bom Jesus da Lapa,17,9,17,1,10,4
42,290395,Bom Jesus da Serra,1,0,1,0,1,0
43,290400,Boninal,5,0,1,2,0,0
44,290405,Bonito,7,0,1,1,0,0
45,290410,Boquira,46,3,5,9,47,2
46,290420,Botuporã,117,12,1,1,0,2
