,Município,<1 Ano,1-4,5-9,10-14,15-19,20-34,35-49,50-64,65-79,80 e+
0,Abaíra,0,0,0,0,0,0,1,0,0,0
1,Abaré,0,0,1,0,0,0,0,0,0,0
2,Adustina,0,1,0,0,0,1,0,0,0,0
3,Alagoinhas,0,2,0,0,0,1,0,1,0,0
4,Alcobaça,0,0,0,0,0,1,0,0,0,0
5,Almadina,0,1,0,0,0,0,0,0,0,0
6,América Dourada,0,0,0,0,0,2,0,0,0,0
7,Anagé,0,0,0,1,0,0,0,0,0,0
8,Andaraí,1,0,0,0,0,1,0,0,0,0
9,Anguera,0,0,0,0,0,0,1,0,0,0
10,Antas,0,0,1,0,0,0,0,0,0,0
11,Arataca,0,0,0,0,0,1,0,0,1,0
12,Baixa Grande,0,0,1,0,1,3,5,1,0,0
13,Barra,0,0,0,2,0,1,0,0,0,0
14,Barra da Estiva,0,1,0,0,0,0,0,0,0,0
15,Barra do Rocha,0,0,0,0,0,1,0,0,0,0
16,Barreiras,8,4,7,11,20,92,69,12,3,1
17,Barro Preto,0,0,0,0,1,1,1,0,0,0
18,Barrocas,0,0,0,0,0,1,0,0,0,0
19,Belmonte,1,0,0,0,0,0,0,0,0,0
20,Belo Campo,0,0,0,0,0,2,0,1,0,0
21,Bom Jesus da Lapa,0,0,1,0,0,5,3,0,0,0
22,Boquira,2,0,0,0,0,1,0,0,0,0
23,Botuporã,1,0,0,0,0,5,5,0,1,0
24,Brotas de Macaúbas,1,1,0,0,0,0,0,0,0,0
25,Brumado,2,0,0,0,2,1,0,0,0,0
26,Buerarema,0,0,0,0,0,0,1,2,0,1
27,Cachoeira,0,1,0,0,0,0,0,0,0,0
28,Caém,0,0,1,0,0,0,4,0,0,0
29,Caetité,0,0,0,0,0,1,0,0,0,0
30,Cafarnaum,0,0,0,0,0,2,0,0,0,0
31,Camacan,0,0,0,0,0,0,1,0,0,1
32,Camaçari,5,8,0,0,1,12,7,2,0,0
33,Campo Alegre de Lourdes,0,0,0,0,1,0,0,0,0,0
34,Campo Formoso,0,0,1,0,0,2,0,0,0,0
35,Canarana,0,0,0,1,0,0,0,0,0,0
36,Canavieiras,0,0,0,1,0,2,0,0,1,0
37,Candeias,3,3,0,1,1,3,1,1,0,0
38,Cândido Sales,0,0,1,0,0,3,2,1,0,0
39,Capela do Alto Alegre,0,0,0,0,0,1,1,1,0,0
40,Capim Grosso,0,0,0,2,0,4,1,0,0,0
41,Caravelas,0,0,1,0,1,0,4,2,1,0
42,Catu,0,0,0,0,0,0,1,0,0,0
43,Coaraci,0,1,1,1,4,4,6,3,0,0
44,Conceição da Feira,0,1,0,0,0,0,0,0,1,0
45,Conceição do Coité,0,0,0,0,0,1,0,0,0,0
46,Conde,0,0,0,0,1,1,0,0,0,0
47,Condeúba,0,0,0,0,1,1,1,0,0,0
48,Cotegipe,0,0,0,0,0,1,0,0,0,0
49,Cristópolis,0,0,0,0,0,1,0,0,0,0
50,Cruz das Almas,0,1,0,0,0,0,0,0,0,0
51,Curaçá,0,0,0,0,0,1,0,0,0,0
52,Dias d'Ávila,2,0,0,0,4,5,1,1,1,0
53,Euclides da Cunha,0,0,0,0,0,0,0,1,0,0
54,Eunápolis,3,4,10,7,17,52,28,7,2,2
55,Feira de Santana,10,28,18,9,27,69,41,8,6,1
56,Filadélfia,0,0,0,0,0,0,0,1,0,0
57,Floresta Azul,0,0,0,0,0,0,1,0,0,0
58,Gandu,0,0,0,1,0,0,0,0,1,0
59,Gavião,0,0,0,0,1,1,0,0,0,0
60,Gongogi,0,0,0,0,0,1,0,0,0,0
61,Governador Mangabeira,0,1,0,0,0,0,1,0,0,0
62,Guajeru,6,9,7,5,6,21,31,11,3,0
63,Guanambi,1,1,0,0,0,2,0,0,0,0
64,Ibiassucê,0,0,0,0,0,1,1,0,0,0
65,Ibicaraí,0,0,0,0,0,1,0,0,0,0
66,Ilhéus,1,1,2,1,0,8,1,1,1,0
67,Inhambupe,0,0,1,0,0,0,0,0,0,0
68,Ipecaetá,0,0,0,0,0,3,0,2,0,0
69,Ipiaú,0,0,2,0,0,0,1,0,0,0
70,Ipirá,0,0,0,0,0,0,1,1,0,0
71,Iraquara,1,0,0,0,2,2,2,1,0,0
72,Irará,1,0,0,1,0,2,0,0,0,0
73,Irecê,0,1,1,0,0,0,0,0,0,0
74,Itabela,2,2,1,2,5,6,1,0,0,0
75,Itaberaba,0,0,0,0,0,6,3,0,0,1
76,Itabuna,0,1,4,12,45,161,103,66,37,22
77,Itacaré,0,0,0,1,0,1,1,0,0,0
78,Itagi,0,0,0,0,0,1,0,0,0,0
79,Itagimirim,1,0,0,1,0,0,0,0,0,0
80,Itajuípe,2,0,0,1,1,3,3,3,1,1
81,Itamaraju,1,0,0,2,5,12,3,0,0,0
82,Itaparica,0,1,0,0,0,2,0,0,1,0
83,Itapé,0,0,0,0,0,1,2,0,0,0
84,Itapebi,0,0,0,0,2,1,0,0,0,0
85,Itapetinga,0,2,0,1,0,1,1,0,0,1
86,Itarantim,0,0,0,4,3,7,6,1,1,0
87,Itatim,2,0,0,0,0,0,1,0,0,0
88,Itiúba,0,0,1,0,0,0,1,0,0,0
89,Itororó,0,0,0,1,0,3,3,0,1,0
90,Ituaçu,0,0,0,0,0,1,1,0,0,0
91,Iuiú,0,0,0,0,0,1,0,0,0,0
92,Jacobina,2,1,0,0,0,4,3,1,1,0
93,Jaguaquara,1,0,0,0,0,3,1,0,0,0
94,Jaguarari,0,0,3,1,0,3,3,2,0,1
95,Jequié,0,3,0,1,2,8,5,2,0,0
96,Jiquiriçá,0,0,0,0,0,0,0,1,0,0
97,João Dourado,0,1,0,0,0,0,0,0,0,0
98,Juazeiro,3,0,1,1,1,3,2,0,0,0
99,Jussari,0,0,0,0,1,0,0,1,0,0
100,Lauro de Freitas,0,0,0,2,1,0,2,1,0,0
101,Luís Eduardo Magalhães,1,1,1,1,1,5,2,3,1,1
102,Macaúbas,1,1,0,0,0,1,6,1,1,1
103,Madre de Deus,0,0,0,0,0,1,0,0,1,0
104,Maiquinique,1,0,0,0,1,5,3,3,2,0
105,Malhada,0,0,0,0,0,2,1,0,0,0
106,Malhada de Pedras,0,0,0,0,0,1,1,0,0,0
107,Manoel Vitorino,0,0,0,1,1,0,0,0,0,0
108,Maracás,1,0,0,0,0,0,0,1,0,0
109,Marcionílio Souza,0,0,0,0,0,0,0,1,0,0
110,Mascote,0,0,0,0,0,1,0,0,0,0
111,Morro do Chapéu,0,0,0,0,0,0,1,0,0,0
112,Mucuri,0,0,0,0,0,3,2,2,0,0
113,Muniz Ferreira,0,0,0,0,0,0,1,0,0,0
114,Muritiba,1,0,0,0,0,0,1,0,0,0
115,Mutuípe,0,1,1,0,0,2,0,0,0,0
116,Nova Fátima,3,3,9,7,10,22,19,9,2,1
117,Nova Itarana,0,0,1,0,0,1,0,0,0,0
118,Nova Viçosa,3,4,2,0,0,6,4,6,2,3
119,Novo Horizonte,0,0,0,0,0,1,0,0,0,0
120,Oliveira dos Brejinhos,0,0,0,0,0,0,1,0,0,0
121,Ourolândia,1,0,0,0,0,0,0,0,0,0
122,Palmeiras,0,0,1,0,0,0,1,0,1,0
123,Paramirim,0,0,0,0,0,0,1,0,0,0
124,Paratinga,0,0,0,1,0,0,0,0,0,0
125,Paulo Afonso,0,0,0,0,0,3,0,0,0,0
126,Pé de Serra,0,0,0,0,0,1,2,0,0,0
127,Pindobaçu,0,0,0,0,0,0,2,0,0,0
128,Poções,0,0,0,0,0,0,0,0,1,0
129,Pojuca,0,0,0,0,0,0,1,0,0,0
130,Ponto Novo,0,0,0,0,1,0,0,0,0,0
131,Porto Seguro,5,6,14,13,23,91,53,14,7,1
132,Prado,0,0,0,0,1,1,1,0,0,0
133,Presidente Dutra,0,0,1,0,0,0,1,0,0,0
134,Presidente Jânio Quadros,1,0,0,0,0,0,0,0,0,0
135,Presidente Tancredo Neves,0,0,0,0,0,1,2,0,0,0
136,Quijingue,0,0,0,0,0,0,1,0,0,0
137,Rafael Jambeiro,0,0,0,0,0,1,1,0,0,0
138,Remanso,0,0,3,2,0,1,1,0,1,0
139,Retirolândia,0,3,1,1,0,0,0,0,0,0
140,Riachão das Neves,0,0,0,0,0,1,0,0,0,0
141,Riachão do Jacuípe,7,17,19,21,23,71,50,22,13,0
142,Ribeira do Amparo,0,0,0,1,0,0,0,0,0,0
143,Ribeira do Pombal,1,1,3,2,4,3,2,4,2,0
144,Rio Real,0,0,2,0,0,0,1,1,0,0
145,Salvador,47,63,35,22,32,64,56,29,10,1
146,Santa Bárbara,3,5,1,3,9,5,4,2,0,0
147,Santa Cruz Cabrália,0,0,0,1,0,1,1,1,0,0
148,Santa Inês,0,0,0,0,0,0,0,0,1,0
149,Santa Luzia,0,0,1,0,0,2,4,1,0,0
150,Santaluz,0,1,1,0,0,1,0,2,0,0
