,Município,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
0,Água Fria,0,0,0,0,0,0,0,0,0,1,0,0
1,Alagoinhas,0,0,0,0,0,0,0,2,0,1,0,0
2,América Dourada,0,0,0,2,7,9,0,0,0,0,0,0
3,Anguera,0,0,0,0,0,2,1,0,0,0,0,0
4,Antas,0,2,0,0,0,0,1,0,0,0,0,0
5,Antônio Gonçalves,0,0,0,0,0,0,1,0,0,0,0,0
6,Arataca,0,0,0,1,0,0,0,0,0,0,0,0
7,Baixa Grande,1,0,0,0,0,0,0,0,1,0,0,0
8,Barra,0,0,0,3,5,0,0,0,0,0,0,0
9,Barreiras,4,3,2,16,9,6,6,6,6,12,2,2
10,Barrocas,0,0,0,0,0,0,0,0,0,0,1,0
11,Belmonte,0,0,0,4,3,7,2,0,9,3,0,0
12,Bom Jesus da Lapa,11,5,1,0,0,0,0,0,0,0,0,0
13,Bom Jesus da Serra,0,1,0,0,0,0,0,0,0,0,0,0
14,Boninal,0,0,1,0,0,0,0,0,0,0,0,0
15,Bonito,0,0,0,0,0,1,0,0,0,0,0,0
16,Boquira,0,0,1,0,0,2,0,0,0,0,2,0
17,Botuporã,0,1,0,0,0,0,0,0,0,0,0,0
18,Brejões,0,0,0,0,0,0,0,1,0,0,0,0
19,Brotas de Macaúbas,1,0,0,0,0,0,0,0,0,1,0,0
20,Brumado,1,1,0,0,0,0,0,0,0,0,0,2
21,Buritirama,0,0,3,0,1,0,0,0,0,0,0,0
22,Caculé,0,0,0,1,0,0,0,0,0,0,0,0
23,Caetité,0,1,0,0,0,0,0,0,0,0,0,0
24,Cafarnaum,0,0,0,0,0,0,0,0,0,1,0,0
25,Camaçari,3,0,3,2,2,3,5,5,8,5,3,0
26,Campo Formoso,0,0,0,0,0,0,0,0,0,0,1,0
27,Canavieiras,0,0,0,1,0,0,0,0,0,0,0,0
28,Candeias,0,1,0,1,0,0,2,1,0,0,0,0
29,Casa Nova,0,0,0,0,0,0,0,28,3,4,2,0
30,Catu,0,0,0,0,0,0,0,1,0,0,0,0
31,Cipó,0,0,0,0,0,0,0,0,1,0,0,0
32,Coaraci,0,0,0,0,0,0,0,1,1,0,0,0
33,Conde,0,0,0,0,0,0,0,0,0,0,2,0
34,Condeúba,1,0,0,1,0,1,0,0,0,0,0,0
35,Cotegipe,0,0,0,0,3,24,13,8,8,1,0,0
36,Cristópolis,0,0,0,0,0,1,0,0,0,0,0,0
37,Curaçá,1,0,0,0,0,0,0,0,0,0,0,0
38,Dias d'Ávila,4,0,1,1,0,0,0,1,0,0,0,0
39,Dom Basílio,0,0,1,0,0,0,0,1,0,1,0,0
40,Esplanada,0,0,0,0,0,0,0,0,0,0,1,0
41,Eunápolis,4,0,1,1,0,0,0,0,1,0,1,0
42,Feira de Santana,6,10,11,11,3,9,16,8,13,19,9,8
43,Governador Mangabeira,0,0,0,0,0,0,0,0,0,1,0,0
44,Guanambi,2,0,1,2,1,1,0,0,0,0,1,0
45,Ibipitanga,0,0,0,0,0,0,0,0,0,0,1,0
46,Ibotirama,0,0,0,0,2,0,0,0,0,1,0,0
47,Igaporã,0,0,1,0,0,0,0,0,0,0,0,0
48,Ilhéus,2,1,1,1,1,0,0,0,0,0,0,0
49,Ipirá,1,1,1,2,13,0,0,0,0,0,0,0
50,Irará,0,0,0,0,0,0,0,0,0,1,0,0
51,Irecê,0,0,1,0,0,0,0,0,0,0,0,0
52,Itabela,0,0,0,0,0,1,3,0,0,0,0,0
53,Itabuna,2,0,0,0,0,0,1,0,0,0,0,0
54,Itajuípe,0,0,0,0,0,0,1,0,0,0,0,0
55,Itamaraju,0,0,1,0,0,0,5,0,0,0,0,0
56,Itanhém,0,0,0,0,0,0,0,1,0,0,0,0
57,Itatim,0,0,0,0,0,0,0,0,0,0,1,0
58,Jaborandi,1,0,0,1,2,0,1,1,0,0,1,1
59,Jacaraci,0,0,0,0,1,0,0,0,0,0,0,0
60,Jacobina,0,0,0,0,0,1,1,0,0,1,0,0
61,Jaguaquara,0,0,0,0,0,0,1,0,0,0,0,0
62,Jaguarari,0,1,0,0,0,0,1,2,0,0,0,0
63,Juazeiro,0,0,1,1,2,0,2,1,1,0,0,0
64,Jussiape,0,0,0,0,3,0,0,2,0,0,0,0
65,Lauro de Freitas,2,1,0,0,0,0,0,0,0,0,0,1
66,Livramento de Nossa Senhora,1,0,0,0,0,0,0,0,0,0,0,0
67,Luís Eduardo Magalhães,0,0,0,0,0,0,0,1,0,0,0,0
68,Macaúbas,0,0,0,0,0,1,0,2,0,1,1,5
69,Madre de Deus,0,1,0,0,0,0,0,0,0,1,0,0
70,Malhada,0,0,2,2,8,1,0,0,0,0,0,0
71,Manoel Vitorino,1,0,2,1,0,0,0,0,0,0,0,0
72,Maracás,2,1,0,1,0,0,0,0,0,0,0,0
73,Marcionílio Souza,0,0,0,0,0,0,0,0,1,0,0,0
74,Mata de São João,0,0,0,0,0,0,0,1,0,0,0,0
75,Miguel Calmon,0,0,0,0,0,0,0,0,0,0,1,0
76,Mirante,0,0,0,0,1,0,0,0,0,0,0,0
77,Morpará,0,0,0,0,0,0,0,0,0,2,0,0
78,Morro do Chapéu,0,0,0,0,0,0,2,0,0,0,0,0
79,Mucugê,0,0,0,0,0,0,0,0,0,0,1,0
80,Mucuri,0,0,0,0,0,0,1,0,0,0,0,0
81,Muritiba,0,0,0,0,0,0,0,0,1,0,0,0
82,Mutuípe,0,0,0,0,0,0,0,0,0,1,0,0
83,Nova Fátima,11,0,0,0,0,0,0,0,0,0,0,0
84,Nova Itarana,0,0,0,0,0,0,0,1,0,0,0,0
85,Ourolândia,0,0,0,0,0,0,0,2,0,0,0,0
86,Palmas de Monte Alto,0,0,0,0,1,0,0,0,0,0,0,0
87,Paramirim,0,0,0,0,1,2,1,8,14,32,22,13
88,Paratinga,0,1,0,14,55,19,5,5,1,0,0,0
89,Paripiranga,0,1,0,0,0,0,0,0,0,0,0,0
90,Paulo Afonso,0,0,0,1,1,0,4,0,0,0,0,0
91,Pé de Serra,43,85,142,33,8,5,1,2,2,6,7,6
92,Pedrão,0,0,0,0,0,0,0,1,0,0,0,0
93,Planaltino,0,0,0,1,0,0,0,0,0,0,0,0
94,Poções,1,0,0,0,0,0,0,0,0,0,0,0
95,Pojuca,0,0,0,0,0,0,0,0,0,1,0,0
96,Porto Seguro,3,1,0,3,1,1,5,2,0,2,1,1
97,Prado,0,0,0,0,0,0,1,0,0,0,0,0
98,Presidente Tancredo Neves,0,0,2,0,0,0,0,0,0,1,0,0
99,Queimadas,0,0,0,0,0,1,0,0,0,0,0,0
100,Remanso,0,0,0,0,2,3,2,4,1,0,1,5
101,Riachão das Neves,0,0,0,0,0,1,0,0,0,0,0,0
102,Riachão do Jacuípe,4,10,10,9,10,1,7,1,0,0,1,0
103,Riacho de Santana,0,0,3,1,3,0,0,0,0,0,0,0
104,Ribeira do Pombal,0,2,6,6,1,7,0,0,0,1,0,0
105,Rio Real,0,0,0,0,0,0,0,0,1,1,0,0
106,Rodelas,0,0,1,0,0,0,0,0,0,0,0,0
107,Salvador,14,12,18,4,6,3,7,20,10,26,17,5
108,Santa Bárbara,0,0,0,0,0,0,0,2,0,0,0,0
109,Santa Cruz Cabrália,2,0,0,0,0,1,0,0,0,0,0,0
110,Santa Luzia,1,0,0,0,0,0,0,0,0,0,0,0
111,Santa Maria da Vitória,0,0,0,0,0,0,1,0,0,0,0,0
112,Santaluz,0,0,0,0,2,0,0,0,0,0,0,0
113,Santo Estêvão,0,0,0,0,0,0,2,1,2,0,0,0
114,São Desidério,0,0,0,0,0,1,1,0,0,0,0,0
115,São Felipe,0,0,0,0,0,0,1,6,0,0,1,0
116,São Félix do Coribe,0,0,0,1,0,0,0,0,0,0,0,0
117,São Francisco do Conde,0,0,0,0,0,0,0,0,0,0,1,0
118,São Sebastião do Passé,0,1,0,0,0,0,0,0,0,0,0,0
119,Senhor do Bonfim,2,0,0,0,0,0,0,0,0,0,0,0
120,Sento Sé,0,0,0,0,0,0,0,0,0,1,0,0
121,Serra do Ramalho,0,0,1,0,1,0,0,0,0,0,0,0
122,Serra Dourada,0,0,0,0,0,0,0,3,1,0,0,0
123,Serra Preta,0,0,0,0,0,0,0,1,1,0,0,0
124,Serrolândia,1,0,0,2,1,0,0,0,0,0,0,0
125,Sítio do Mato,0,0,0,2,0,0,0,0,0,0,0,0
126,Sobradinho,0,0,1,0,0,0,0,0,1,0,0,0
127,Tanquinho,0,0,2,0,0,0,0,1,1,2,0,0
128,Taperoá,0,1,0,2,0,0,0,0,0,0,0,0
129,Teixeira de Freitas,3,6,4,8,6,3,2,5,1,0,0,1
130,Teofilândia,0,0,1,0,0,0,0,0,0,0,0,0
131,Tucano,0,0,1,0,0,0,0,0,0,0,0,0
132,Uauá,0,0,0,0,0,0,0,0,0,0,1,0
133,Una,0,0,1,1,0,0,0,0,0,0,0,0
134,Utinga,0,0,1,0,0,0,0,0,0,0,0,0
135,Valença,0,0,0,0,2,1,2,0,0,0,0,0
136,Várzea Nova,0,0,0,0,0,0,0,1,0,0,0,0
137,Vera Cruz,0,0,0,0,0,2,1,2,0,0,0,0
138,Vitória da Conquista,4,1,3,3,1,0,0,0,0,2,0,1
