,Municipio,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
0,Abaré,0,0,0,0,1,2,0,0,0,0,0,0
1,Acajutiba,0,0,0,0,0,0,2,0,0,0,0,0
2,Água Fria,0,0,0,0,0,2,0,0,0,0,0,0
3,Alagoinhas,0,1,0,1,0,0,1,0,0,0,0,0
4,Amargosa,0,0,1,5,7,5,0,0,0,0,0,0
5,América Dourada,0,0,0,0,3,2,0,0,0,1,0,0
6,Anagé,0,0,0,4,0,0,1,0,1,0,0,0
7,Andaraí,0,0,0,0,0,1,0,0,0,0,0,0
8,Andorinha,0,0,0,0,2,0,0,0,0,0,0,0
9,Angical,0,0,0,0,0,1,0,0,0,0,0,0
10,Anguera,0,0,0,1,2,0,0,0,0,0,0,0
11,Antônio Gonçalves,0,0,0,1,0,0,0,0,0,0,0,0
12,Apuarema,0,0,0,1,0,0,0,0,0,0,0,0
13,Aracatu,0,0,0,0,1,0,0,0,0,0,0,0
14,Araci,1,0,0,0,3,2,0,0,0,0,0,0
15,Aramari,0,0,0,0,0,0,1,0,0,0,0,0
16,Barra do Choça,0,1,0,0,0,0,0,0,0,0,0,0
17,Barreiras,1,0,1,0,1,2,0,2,3,0,0,0
18,Barro Preto,0,0,2,13,1,0,0,0,0,0,0,0
19,Belo Campo,0,0,0,0,1,0,0,0,0,0,0,0
20,Boa Nova,0,0,0,1,1,2,0,0,0,0,0,0
21,Bom Jesus da Lapa,0,0,0,2,3,2,0,2,1,0,0,0
22,Bom Jesus da Serra,1,0,0,0,0,0,0,0,0,0,0,0
23,Boquira,0,0,0,27,19,1,0,0,0,0,0,0
24,Brotas de Macaúbas,0,0,0,0,0,0,0,1,0,0,0,2
25,Brumado,3,1,1,4,13,2,1,3,3,0,0,0
26,Cabaceiras do Paraguaçu,0,0,0,0,0,1,0,0,0,1,0,1
27,Cachoeira,0,0,3,6,31,9,1,1,0,1,0,0
28,Caculé,0,0,0,0,0,0,0,0,0,1,0,0
29,Caetanos,0,0,0,1,0,0,0,0,0,0,0,0
30,Camacan,0,0,0,9,1,1,0,0,0,0,0,0
31,Camaçari,3,2,5,8,7,15,9,2,2,2,4,2
32,Camamu,0,0,0,0,0,0,1,0,0,0,0,0
33,Campo Formoso,0,0,1,3,5,7,1,0,0,0,0,1
34,Canavieiras,0,0,0,0,0,0,0,0,0,1,0,0
35,Candeias,0,0,0,1,0,0,1,1,3,0,1,0
36,Candiba,0,0,0,0,0,0,0,0,1,0,0,2
37,Cândido Sales,14,26,13,0,1,0,1,0,1,1,0,0
38,Cansanção,0,0,1,0,0,2,1,0,0,0,0,0
39,Capela do Alto Alegre,0,1,0,0,0,0,0,0,0,0,0,0
40,Capim Grosso,0,1,1,1,6,1,0,0,0,0,0,0
41,Caraíbas,0,3,0,0,1,0,0,0,0,0,0,0
42,Carinhanha,0,0,0,0,0,2,0,0,0,0,0,2
43,Casa Nova,0,1,0,40,19,0,0,0,0,0,0,0
44,Castro Alves,0,0,0,0,0,0,1,0,0,0,0,0
45,Catolândia,0,0,0,0,0,0,0,0,0,0,1,0
46,Catu,9,8,4,8,12,14,12,11,9,1,3,0
47,Caturama,0,0,0,0,0,0,0,0,0,0,2,2
48,Central,0,0,0,0,0,0,1,1,0,0,0,0
49,Coaraci,0,0,12,4,4,0,0,0,0,0,0,0
50,Conceição do Almeida,0,0,0,0,0,0,2,0,0,0,0,0
51,Conceição do Coité,0,0,0,1,0,0,0,0,0,0,0,0
52,Conceição do Jacuípe,1,0,0,5,8,10,5,1,0,1,0,0
53,Conde,0,0,0,1,2,0,0,0,0,0,0,0
54,Condeúba,2,0,17,19,4,2,0,0,0,0,0,0
55,Contendas do Sincorá,0,0,0,0,1,4,3,1,0,0,0,0
56,Coronel João Sá,0,0,0,0,0,0,0,0,0,0,4,0
57,Cotegipe,0,0,0,0,2,0,2,0,0,0,0,0
58,Cravolândia,0,0,0,0,1,0,0,0,0,0,0,0
59,Crisópolis,0,0,1,0,4,6,0,0,0,0,0,0
60,Cruz das Almas,0,0,0,3,35,66,5,2,2,0,0,0
