,Município,Em Branco,Ignorado,Masculino,Feminino
0,Abaíra,0,0,1,0
1,Abaré,0,0,0,1
2,Adustina,0,0,0,2
3,Alagoinhas,0,0,1,3
4,Alcobaça,0,0,0,1
5,Almadina,0,0,1,0
6,América Dourada,0,0,0,2
7,Anagé,0,0,1,0
8,Andaraí,0,0,0,2
9,Anguera,0,0,1,0
10,Antas,0,0,0,1
11,Arataca,0,0,1,1
12,Baixa Grande,0,0,4,7
13,Barra,0,0,2,1
14,Barra da Estiva,0,0,0,1
15,Barra do Rocha,0,0,0,1
16,Barreiras,0,0,57,170
17,Barro Preto,0,0,0,3
18,Barrocas,0,0,0,1
19,Belmonte,0,0,1,0
20,Belo Campo,0,0,0,3
21,Bom Jesus da Lapa,0,0,1,8
22,Boquira,0,0,2,1
23,Botuporã,0,0,3,9
24,Brotas de Macaúbas,0,0,1,1
25,Brumado,0,0,1,4
26,Buerarema,0,0,3,1
27,Cachoeira,0,0,1,0
28,Caém,0,0,2,3
29,Caetité,0,0,0,1
30,Cafarnaum,0,0,0,2
31,Camacan,0,0,0,2
32,Camaçari,0,0,8,27
33,Campo Alegre de Lourdes,0,0,0,1
34,Campo Formoso,0,0,1,2
35,Canarana,0,0,1,0
36,Canavieiras,0,0,0,4
37,Candeias,0,0,7,6
38,Cândido Sales,0,0,0,7
39,Capela do Alto Alegre,0,0,0,3
40,Capim Grosso,0,0,3,4
41,Caravelas,0,0,3,6
42,Catu,0,0,1,0
43,Coaraci,0,0,12,8
44,Conceição da Feira,0,0,0,2
45,Conceição do Coité,0,0,1,0
46,Conde,0,0,1,1
47,Condeúba,0,0,2,1
48,Cotegipe,0,0,0,1
49,Cristópolis,0,0,1,0
50,Cruz das Almas,0,0,1,0
51,Curaçá,0,0,0,1
52,Dias d'Ávila,0,0,3,11
53,Euclides da Cunha,0,0,0,1
54,Eunápolis,0,0,40,92
55,Feira de Santana,0,0,64,153
56,Filadélfia,0,0,1,0
57,Floresta Azul,0,0,0,1
58,Gandu,0,0,1,1
59,Gavião,0,0,0,2
60,Gongogi,0,0,0,1
61,Governador Mangabeira,0,0,0,2
62,Guajeru,0,0,32,67
63,Guanambi,0,0,1,3
64,Ibiassucê,0,0,1,1
65,Ibicaraí,0,0,0,1
66,Ilhéus,0,0,4,12
67,Inhambupe,0,0,0,1
68,Ipecaetá,0,0,0,5
69,Ipiaú,0,0,1,2
70,Ipirá,0,0,1,1
71,Iraquara,0,0,4,4
72,Irará,0,0,2,2
73,Irecê,0,0,2,0
74,Itabela,0,0,8,11
75,Itaberaba,0,0,2,8
76,Itabuna,0,0,168,283
77,Itacaré,0,0,2,1
78,Itagi,0,0,0,1
79,Itagimirim,0,0,1,1
80,Itajuípe,0,0,4,11
81,Itamaraju,0,0,1,22
82,Itaparica,0,0,3,1
83,Itapé,0,0,2,1
84,Itapebi,0,0,0,3
85,Itapetinga,0,0,2,4
86,Itarantim,0,0,4,18
87,Itatim,0,0,2,1
88,Itiúba,0,0,0,2
89,Itororó,0,0,1,7
90,Ituaçu,0,0,0,2
91,Iuiú,0,0,1,0
92,Jacobina,0,0,2,10
93,Jaguaquara,0,0,2,3
94,Jaguarari,0,0,3,10
95,Jequié,0,0,6,15
96,Jiquiriçá,0,0,0,1
97,João Dourado,0,0,1,0
98,Juazeiro,0,0,2,9
99,Jussari,0,0,1,1
100,Lauro de Freitas,0,0,2,4
101,Luís Eduardo Magalhães,0,0,7,10
102,Macaúbas,0,0,5,7
103,Madre de Deus,0,0,2,0
104,Maiquinique,0,0,7,8
105,Malhada,0,0,1,2
106,Malhada de Pedras,0,0,1,1
107,Manoel Vitorino,0,0,0,2
108,Maracás,0,0,0,2
109,Marcionílio Souza,0,0,0,1
110,Mascote,0,0,0,1
111,Morro do Chapéu,0,0,0,1
112,Mucuri,0,0,3,4
113,Muniz Ferreira,0,0,0,1
114,Muritiba,0,0,2,0
115,Mutuípe,0,0,1,3
116,Nova Fátima,0,0,31,54
117,Nova Itarana,0,0,0,2
118,Nova Viçosa,0,0,6,24
119,Novo Horizonte,0,0,0,1
120,Oliveira dos Brejinhos,0,0,0,1
121,Ourolândia,0,0,1,0
122,Palmeiras,0,0,0,3
123,Paramirim,0,0,0,1
124,Paratinga,0,0,0,1
125,Paulo Afonso,0,0,0,3
126,Pé de Serra,0,0,0,3
127,Pindobaçu,0,0,0,2
128,Poções,0,0,0,1
129,Pojuca,0,0,0,1
130,Ponto Novo,0,0,0,1
131,Porto Seguro,0,0,65,162
132,Prado,0,0,0,3
133,Presidente Dutra,0,0,1,1
134,Presidente Jânio Quadros,0,0,1,0
135,Presidente Tancredo Neves,0,0,0,3
136,Quijingue,0,0,1,0
137,Rafael Jambeiro,0,0,1,1
138,Remanso,0,0,4,4
139,Retirolândia,0,0,4,1
140,Riachão das Neves,0,0,0,1
141,Riachão do Jacuípe,0,0,77,166
142,Ribeira do Amparo,0,0,0,1
143,Ribeira do Pombal,0,0,10,12
144,Rio Real,0,0,2,2
145,Salvador,0,0,151,208
146,Santa Bárbara,0,0,11,21
147,Santa Cruz Cabrália,0,0,1,3
148,Santa Inês,0,0,0,1
149,Santa Luzia,0,0,2,6
150,Santaluz,0,0,0,5
151,Santo Antônio de Jesus,0,0,1,4
152,São Domingos,0,0,4,1
153,São Félix do Coribe,0,0,0,1
154,São Francisco do Conde,0,0,0,2
155,São Gonçalo dos Campos,0,0,0,1
156,São José da Vitória,0,0,0,3
157,Saúde,0,0,3,13
158,Seabra,0,0,1,1
159,Senhor do Bonfim,0,0,4,5
160,Sento Sé,0,0,0,1
161,Serra Preta,0,0,1,0
162,Serrinha,0,0,5,4
163,Serrolândia,0,0,1,2
